player_id,x_id,name,personalstats_items,faction_faction_id,faction_faction_name,last_action_timestamp,stats,SEs
427959,427959,itay,1369,22781,The Wolverines,1740858021,162890812408,356
730674,730674,Vernunzio,3400,8151,Chromatic,1740859313,1252751504791830,343
2760106,2760106,Akenomics,1091,8520,Xenon,1740858473,8369575167687,340
179208,179208,Tim,1211,16628,Chain Reaction,1740857301,649694990551,326
2442882,2442882,Skjold,1384,6731,The Next Level,1740858646,698481856781,289
2142206,2142206,Oya,1135,18736,Monarch Research,1740858718,220750199384,253
1517799,1517799,Penicillin,3207,9533,Natural Selection,1740857362,1605172195016170,209
1953860,1953860,RGiskard,3873,8336,Monarch HQ,1740854811,1793763709361680,207
204836,204836,Slork,793,8336,Monarch HQ,1740850046,206667249923,196
1081517,1081517,ShadowZone,1254,12094,Nuclear Fusion,1740858641,603150099906,174
1443076,1443076,Euphoria,1015,8867,Monarch Chrysalis,1740843748,564228152240,162
1025410,1025410,Pops,2421,10174,AQUA-Poseidon,1740857162,154099518797862,150
979003,979003,deft,3659,9533,Natural Selection,1740842724,1562993451395980,149
1169571,1169571,xanty,3834,230,PT-Family,1740856456,1845411521891790,130
1921241,1921241,Aunt,3016,8938,Arcadia,1740859429,1298255821182480,126
553318,553318,mug,529,29865,WTF Ducks,1740850291,5.5e+10,111
1441750,1441750,_SCOFIELD_,1251,16628,Chain Reaction,1740858853,906633328164,106
2033210,2033210,OSA,1313,8336,Monarch HQ,1740856538,2656385430740,101
190060,190060,Acepac,414,41929,Valor,1740845100,156713184209,92
1161626,1161626,LTJELLOMAN,540,11747,Natural Selection II,1740858489,19557085885,91
944731,944731,Manchineel,494,231,Destructive Anomaly,1740859702,152387024709,72
1598729,1598729,realistassasin,2814,11428,Swiss Squad,1740859202,2457597456443080,72
1716970,1716970,loveu2,304,8336,Monarch HQ,1740858731,47449799985,70
1360035,1360035,Untouchable,450,16628,Chain Reaction,1740855881,114168350846,69
795412,795412,Hopslam,473,231,Destructive Anomaly,1740858732,19555808546,69
1607981,1607981,Khawasi,838,8151,Chromatic,1740854851,210080426034,68
2015134,2015134,Zachjuv,1477,9533,Natural Selection,1740857623,1443720609569,68
1591396,1591396,Blaze,2487,30584,Disorderly Conduct,1740859167,361118099413778,67
270923,270923,shaz1,4040,21665,Monarch Army of Light,1740859139,2386486874864970,59
1966160,1966160,Toorg,602,14581,Project Nimbus,1740854003,117244242409,55
1670630,1670630,CaptBritain,401,11428,Swiss Squad,1740839060,125495463538,53
361750,361750,bink,520,19,39th Street Killers,1740786297,5.5e+10,53
2131856,2131856,Superior-,309,21665,Monarch Army of Light,1740859612,19644469521,52
2802993,2802993,Premeditated,1255,6731,The Next Level,1740858711,1009837091478,47
1385260,1385260,Markland,359,10174,AQUA-Poseidon,1740821633,5.5e+10,45
332505,332505,Midknight,602,2013,Subversive  Alliance,1740856693,447916315437,43
2835313,2835313,TuvCai,736,49072,Not a Cache Farm,1740858106,1776446757088,43
471188,471188,Dutch,751,8867,Monarch Chrysalis,1740858044,100831479958,41
602901,602901,Beertogo,378,2013,Subversive  Alliance,1740852892,46395771404,40
1034523,1034523,Tezwar,1683,9032,Wolf Pack,1740858211,10135616515620,40
2105509,2105509,Green,421,16628,Chain Reaction,1740859133,19400286201,38
1955477,1955477,Rowdy_Rebel357,1304,10174,AQUA-Poseidon,1740858604,526026841992,35
922212,922212,Bullzeye,398,8706,Carbon,1740858214,60324368108,29
2081928,2081928,Al1m_121,908,11428,Swiss Squad,1740858243,13389694865229,26
108922,108922,HT-Supermikk,1128,9524,|HT|,1740834812,295126762093,26
2619860,2619860,skmoonlight,354,16628,Chain Reaction,1740850343,24794742828,24
1476986,1476986,Vayne,424,19,39th Street Killers,1740854307,5.5e+10,23
59922,59922,DrGonzo,1434,3241,JFK,1740805257,2345506506819,23
23315,23315,easye,359,9674,Smells like Sex,1740835023,68229432635,20
209070,209070,Tascon,593,16628,Chain Reaction,1740851314,71182861434,20
1468841,1468841,DamonsDemon,383,20747,Damage Inc,1740844140,60506160417,18
1867016,1867016,VitaGreta,454,16628,Chain Reaction,1740858629,59974883174,18
1455847,1455847,Para,1079,478,PT-ShadowRazers,1740857073,1372838846016,18
1879587,1879587,Proxima,1411,16628,Chain Reaction,1740853481,2912501171112,18
1825532,1825532,Alexstrasza,2116,8336,Monarch HQ,1740787805,3404551888307,15
1352251,1352251,ChristmasBazaar,575,16628,Chain Reaction,1740833232,138620288836,14
1579225,1579225,StPenguinLeita,614,13665,PT-Penguins,1740858332,142724617122,14
390615,390615,Aeroroot,457,3241,JFK,1740857072,19547577808,13
31567,31567,NaX,330,16628,Chain Reaction,1740858353,66467753526,12
983221,983221,Nath,385,16628,Chain Reaction,1740859620,121190083676,12
1915023,1915023,CrazedOne,635,16628,Chain Reaction,1740854268,97332980701,12
732810,732810,Michelle-420-,363,9533,Natural Selection,1740856403,55801289830,11
748022,748022,Kookaburra,843,41929,Valor,1740842454,1089903202204,11
99177,99177,BodyBagger,5259,18736,Monarch Research,1740856371,1212923474361000,10
