id,name,revives,medicalitemsused,bloodwithdrawn,hospital,vandalism,theft,counterfeiting,fraud,illicitservices,cybercrime,racingpointsearned,raceswon,jailed,peoplebusted,peoplebought,auctionswon,bazaarcustomers,heahits,machits,rifhits,smghits,shohits,pishits,grehits,piehits,slahits,axehits,chahits,h2hhits,dumpfinds,candyused,alcoholused,energydrinkused,argtravel,mextravel,dubtravel,hawtravel,japtravel,lontravel,soutravel,switravel,chitravel,cantravel,caytravel,attackswon,attacksdraw,attacksassisted,yourunaway,attackcriticalhits,attacksstealthed,attackslost,cantaken,exttaken,kettaken,lsdtaken,opitaken,pcptaken,shrtaken,spetaken,victaken,xantaken,update
3782,Rocker,0,407,346,37,8,725,917,652,3,93,43,5,13,100,2,0,4,0,9,0,0,51,12,25,12,0,62,0,20,0,155,561,0,1,2,5,1,2,5,8,8,0,1,2,166,2,0,8,148,83,23,0,0,0,0,0,0,0,0,0,65,2025-06-29T12:10:03.285444Z
3967,Bynarr,0,361,301,50,0,410,32,1042,217,428,0,59,6,36,0,0,0,0,58,17,27,0,1,22,0,0,28,0,5,0,0,0,259,0,0,0,0,0,0,1,3,0,0,1,77,2,20,2,175,1,6,0,0,0,0,0,0,0,0,0,84,2025-06-29T12:10:03.285444Z
12004,Topolino,1,222,150,15,316,391,3898,0,108,0,0,0,16,154,0,0,18,0,28,0,0,92,0,17,0,32,3,0,110,5,0,312,122,0,0,0,0,0,0,0,3,0,0,0,278,0,0,1,221,4,3,0,0,0,0,0,0,0,0,3,39,2025-06-29T12:10:03.285444Z
12948,Lady_Mara,0,528,523,5,1410,347,0,0,455,394,35,7,7,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,30,0,0,351,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,82,2025-06-29T12:10:03.285444Z
13096,Smiler,0,51,0,10,0,74,0,0,0,1182,12,0,4,47,0,0,5,0,7,0,3,82,2,4,0,0,14,0,0,0,0,408,0,0,0,0,0,0,0,0,5,0,0,0,112,5,9,7,158,22,3,0,0,0,0,0,0,0,0,1,60,2025-06-29T12:10:03.285444Z
14297,-Atlas-,0,707,498,56,0,1434,2,926,15,453,115,60,11,102,0,0,38,4,0,87,16,19,3,6,0,60,5,0,5,1,0,273,9,11,1,0,0,0,5,0,1,0,9,0,198,4,5,0,206,19,4,3,0,0,0,0,0,0,0,1,79,2025-06-29T12:10:03.285444Z
18877,Fear,0,0,0,1,0,0,0,805,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,2025-06-29T12:10:03.285444Z
20228,ornery,0,116,71,7,0,1295,1141,410,14,40,4,43,7,2,0,0,0,0,0,0,0,12,12,0,30,0,1,0,6,1,87,439,14,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,54,12,1,0,0,0,0,2,0,0,0,3,0,2025-06-29T12:10:03.285444Z
25719,Shandurai,0,362,334,22,6,392,267,200,39,259,0,0,21,68,0,2,52,0,0,0,0,62,5,13,0,37,0,0,1,0,0,467,7,0,0,0,0,0,0,0,3,0,0,0,107,0,5,0,66,11,0,0,0,0,0,0,0,0,0,1,58,2025-06-29T12:10:03.285444Z
27581,Hell_Fire,0,82,55,9,0,12,486,2710,25,4,31,10,14,76,0,0,0,0,22,1,68,0,0,0,0,20,0,0,0,1,0,634,0,0,0,0,0,0,0,0,1,0,0,1,84,6,10,0,124,2,1,4,0,0,0,0,0,0,0,0,63,2025-06-29T12:10:03.285444Z
30856,Tinkerbolt,0,22,0,2,0,121,1355,49,118,1372,0,0,6,0,0,0,0,0,0,0,2,0,2,0,170,0,0,0,0,0,0,335,36,0,0,0,0,0,0,0,4,0,0,0,174,0,0,0,98,139,1,0,0,0,0,0,0,0,0,0,54,2025-06-29T12:10:03.285444Z
