"start","end","winner","forfeit","ID","fid1","score1","atk1","resp1","pts1","cache1","rb1","ra1","membs1","fid2","score2","atk2","resp2","pts2","cache2","rb2","ra2","membs2","win1","win2","rew1","rew2"
1631438852,1631968062,42485,0,72,"42485",0,0,3777,56693000,6.8e+08,"Unranked","Silver II",49,"45171",0,0,2273,34125000,4.15e+08,"Unranked","Silver",46,TRUE,FALSE,736693000,0
1632240000,1632494950,45171,0,74,"42485",280,20,2598,38993500,6.15e+08,"Diamond V","Diamond IV",45,"45171",2584,213,25382,381108000,4.96e+09,"Diamond V","Diamond VI",45,FALSE,TRUE,0,5341108000
1633072535,1603102404,42113,0,75,"37706",1806,240,1062,15925000,1.8e+08,"Bronze I","Bronze",13,"42113",3607,483,1429,21476000,0,"Unranked","Bronze I",13,FALSE,TRUE,0,21476000
1633619759,1633621081,37706,1,79,"37706",0,0,3823,57421000,7.35e+08,"Gold II","Gold III",12,"42113",0,0,0,0,0,"Gold II","Gold I",10,TRUE,FALSE,792421000,0
1634735790,1634740975,37706,0,81,"37706",2503,1,2941,44180500,5e+08,"Gold III","Gold III",12,"42113",100,0,365,5460000,0,"Silver III","Silver I",9,TRUE,FALSE,544180500,0
1635940800,1635955987,11747,0,89,"231",7263,554,1543,23159500,2.35e+08,"Unranked","Unranked",94,"11747",12287,807,4959,74438000,9.45e+08,"Unranked","Bronze I",99,FALSE,TRUE,0,1019438000
1636386900,1636916105,37706,0,90,"37706",48,6,4006,60151000,1.53e+09,"Gold III","Gold III",12,"42113",29,9,679,10192000,0,"Bronze","Bronze",9,TRUE,FALSE,1590151000,0
1636560000,1636591438,8989,0,92,"8989",16882,1352,2499,37537500,9.15e+08,"Unranked","Bronze I",92,"27370",4877,431,1023,15379000,0,"Unranked","Unranked",92,TRUE,FALSE,952537500,0
1636452000,1636981211,42485,0,93,"42485",0,0,2536,38083500,8.75e+08,"Bronze I","Bronze II",32,"45171",0,0,3640,54645500,1.39e+09,"Gold I","Gold",43,TRUE,FALSE,913083500,0
1636642800,1636862132,15446,0,94,"8819",19906,2770,1741,26162500,6.25e+08,"Unranked","Unranked",80,"15446",29809,3557,2772,41632500,1.125e+09,"Unranked","Bronze I",87,FALSE,TRUE,0,1166632500
1637172000,1637214459,44762,0,95,"38482",2247,365,581,8736000,1.8e+08,"Unranked","Unranked",39,"44762",6448,837,1443,21658000,5.95e+08,"Unranked","Bronze I",37,FALSE,TRUE,0,616658000
1637161200,1637180920,31764,0,96,"8795",1373,273,813,12194000,2.35e+08,"Unranked","Unranked",86,"31764",8174,1063,2397,35990500,0,"Unranked","Bronze I",89,FALSE,TRUE,0,35990500
1637251200,1637287684,43325,0,97,"13307",466,114,464,6961500,1.8e+08,"Unranked","Unranked",69,"43325",6267,986,2528,37947000,0,"Unranked","Bronze I",69,FALSE,TRUE,0,37947000
1637395200,1637838010,42113,0,98,"37706",0,0,832,12512500,2.35e+08,"Gold III","Gold I",12,"42113",10,2,2399,36036000,0,"Bronze","Bronze I",9,FALSE,TRUE,0,36036000
1637438400,1637491364,8938,0,99,"6731",10391,1119,1865,27982500,6.8e+08,"Unranked","Unranked",98,"8938",17893,1613,3240,48639500,1.235e+09,"Unranked","Bronze I",100,FALSE,TRUE,0,1283639500
1637769600,1637898387,13502,0,100,"9100",38353,3529,1390,20884500,4.45e+08,"Unranked","Unranked",97,"13502",44866,3469,2961,44453500,1.085e+09,"Unranked","Bronze I",95,FALSE,TRUE,0,1129453500
1638388800,1638405336,12893,0,101,"12893",9814,1021,3252,48821500,1.11e+09,"Unranked","Bronze I",96,"14760",2506,318,1081,16243500,4.15e+08,"Unranked","Unranked",91,TRUE,FALSE,1158821500,0
1638381600,1638410299,22492,0,102,"22492",12644,1072,2838,42633500,1.07e+09,"Unranked","Bronze I",96,"33458",5237,475,1142,17153500,0,"Unranked","Unranked",93,TRUE,FALSE,1112633500,0
1639047600,1639490411,37706,0,105,"37706",0,0,1181,17745000,3.2e+08,"Unranked","Bronze I",13,"42485",0,0,1088,16334500,0,"Unranked","Unranked",31,TRUE,FALSE,337745000,0
1639159200,1639195410,16040,0,106,"16040",9193,1456,2756,41359500,1.07e+09,"Unranked","Bronze I",92,"40420",1691,271,779,11693500,0,"Unranked","Unranked",99,TRUE,FALSE,1111359500,0
1639148400,1639162212,8422,0,107,"19",1993,220,904,13559000,3.2e+08,"Unranked","Unranked",93,"8422",9304,743,2739,41132000,8.75e+08,"Unranked","Bronze I",88,FALSE,TRUE,0,916132000
1639144800,1639259545,10566,0,108,"10566",19688,2207,2380,35717500,9.45e+08,"Unranked","Bronze I",84,"42125",12947,1521,1534,23023000,5.55e+08,"Unranked","Unranked",94,TRUE,FALSE,980717500,0
1639152000,1639177681,9412,0,109,"9412",9520,878,2688,40358500,9.15e+08,"Unranked","Bronze I",85,"10856",2212,289,812,12194000,0,"Unranked","Unranked",96,TRUE,FALSE,955358500,0
1639159200,1639178136,9533,0,110,"9533",16870,974,3120,46865000,1.15e+09,"Unranked","Bronze I",100,"16628",9361,621,1424,21385000,5e+08,"Unranked","Unranked",93,TRUE,FALSE,1196865000,0
1639144800,1639188355,16335,0,111,"15226",516,120,706,10601500,2.35e+08,"Unranked","Unranked",100,"16335",8024,1257,2797,41996500,1e+09,"Unranked","Bronze I",100,FALSE,TRUE,0,1041996500
1639148400,1639190577,36891,0,112,"15446",4782,586,1430,21476000,4.7e+08,"Unranked","Unranked",99,"36891",12184,1188,2986,44817500,1.095e+09,"Unranked","Bronze I",100,FALSE,TRUE,0,1139817500
1639155600,1639239589,15929,0,113,"8537",6203,1156,1197,17972500,4.15e+08,"Unranked","Unranked",97,"15929",13613,1865,2747,41268500,1.07e+09,"Unranked","Bronze I",85,FALSE,TRUE,0,1111268500
1639152000,1639176437,89,0,114,"89",14396,1014,3045,45727500,1.085e+09,"Unranked","Bronze I",97,"11581",7084,531,1577,23660000,0,"Unranked","Unranked",95,TRUE,FALSE,1130727500,0
1639148400,1639228467,36134,0,115,"13842",8160,1023,1531,22977500,5.95e+08,"Unranked","Unranked",92,"36134",15663,2150,3567,53553500,1.39e+09,"Unranked","Bronze I",99,FALSE,TRUE,0,1443553500
1639238400,1639271466,30009,0,116,"26312",2428,460,804,12057500,2.35e+08,"Unranked","Unranked",81,"30009",9331,1054,3227,48457500,1.125e+09,"Unranked","Bronze I",81,FALSE,TRUE,0,1173457500
1639242000,1639303486,5431,0,117,"5431",14581,1500,3536,53098500,1.39e+09,"Unranked","Bronze I",98,"9305",7276,1287,1263,18973500,4.15e+08,"Unranked","Unranked",93,TRUE,FALSE,1443098500,0
1639242000,1639666810,46529,0,118,"46529",3523,1009,1060,15925000,3.2e+08,"Unranked","Bronze I",22,"46763",3362,1160,579,8690500,0,"Unranked","Unranked",18,TRUE,FALSE,335925000,0
1639245600,1639294092,15644,0,119,"15644",10733,1515,3096,46501000,1.25e+09,"Unranked","Bronze I",99,"36660",3330,624,1133,17017000,0,"Unranked","Unranked",91,TRUE,FALSE,1296501000,0
1639256400,1639507750,16696,0,120,"16696",12952,2202,2486,37310000,9.85e+08,"Unranked","Bronze I",58,"39788",9602,1981,1151,17290000,4.15e+08,"Unranked","Unranked",70,TRUE,FALSE,1022310000,0
1639353600,1639538828,43699,0,121,"43699",3424,574,1479,22204000,5e+08,"Unranked","Bronze I",30,"46127",1184,293,481,7234500,0,"Unranked","Unranked",21,TRUE,FALSE,522204000,0
1639339200,1639359231,8400,0,122,"8400",9908,975,2892,43407000,1.095e+09,"Unranked","Bronze I",97,"27223",2508,296,1087,16334500,0,"Unranked","Unranked",98,TRUE,FALSE,1138407000,0
1639324800,1639349490,21234,0,123,"21234",7992,898,2688,40358500,1e+09,"Unranked","Bronze I",90,"30085",1091,225,723,10874500,0,"Unranked","Unranked",84,TRUE,FALSE,1040358500,0
1639339200,1639546286,8944,0,124,"8944",4200,1260,1575,23660000,5.55e+08,"Unranked","Bronze I",42,"19764",1290,327,805,12103000,0,"Unranked","Unranked",47,TRUE,FALSE,578660000,0
1639332000,1639452696,9055,0,125,"9055",19004,2431,1879,28210000,8.05e+08,"Unranked","Bronze I",65,"21665",13690,1529,1088,16334500,0,"Unranked","Unranked",67,TRUE,FALSE,833210000,0
1639504800,1639519247,9036,0,126,"9036",11535,929,2497,37492000,8.75e+08,"Unranked","Bronze I",96,"22781",4070,407,1582,23751000,6.25e+08,"Unranked","Unranked",97,TRUE,FALSE,912492000,0
1639450800,1639790932,37838,0,127,"37838",6628,1648,1971,29575000,6.8e+08,"Unranked","Bronze I",49,"38741",5350,1366,931,13968500,0,"Unranked","Unranked",42,TRUE,FALSE,709575000,0
1639483200,1639677972,46805,0,128,"37803",896,254,393,5915000,1.8e+08,"Unranked","Unranked",21,"46805",2967,539,1239,18609500,0,"Unranked","Bronze I",21,FALSE,TRUE,0,18609500
1639483200,1639497905,44625,1,129,"38319",806,136,0,0,0,"Unranked","Unranked",28,"44625",923,156,1557,23387000,0,"Unranked","Bronze I",38,FALSE,TRUE,0,23387000
1639508400,1639661391,37530,0,130,"32535",691,197,494,7416500,1.8e+08,"Unranked","Unranked",57,"37530",4832,1274,2074,31122000,7.65e+08,"Unranked","Bronze I",58,FALSE,TRUE,0,796122000
1639612800,1639965611,42188,0,131,"42188",1369,426,1031,15470000,3.2e+08,"Unranked","Bronze I",14,"46568",743,196,497,7462000,0,"Unranked","Unranked",13,TRUE,FALSE,335470000,0
1639602000,1639625915,10818,0,132,"7969",730,177,541,8144500,1.8e+08,"Unranked","Unranked",91,"10818",7940,1104,2983,44772000,1.24e+09,"Unranked","Bronze I",84,FALSE,TRUE,0,1284772000
1639602000,1639647590,26043,0,133,"8766",4893,511,1111,16698500,3.2e+08,"Unranked","Unranked",89,"26043",11893,1271,3426,51460500,1.305e+09,"Unranked","Bronze I",93,FALSE,TRUE,0,1356460500
1639612800,1639718681,8566,0,134,"8566",8424,1362,1958,29393000,6.4e+08,"Unranked","Bronze I",57,"45040",3904,601,891,13377000,0,"Unranked","Unranked",44,TRUE,FALSE,669393000,0
1639587600,1639600623,22492,0,135,"8085",870,151,718,10783500,1.8e+08,"Unranked","Unranked",91,"22492",8385,620,3021,45363500,1.11e+09,"Unranked","Bronze I",100,FALSE,TRUE,0,1155363500
1639576800,1639651781,38847,1,136,"8255",6264,811,0,0,0,"Unranked","Unranked",44,"38847",5207,799,1898,28483000,8.05e+08,"Unranked","Bronze I",55,FALSE,TRUE,0,833483000
1639580400,1639607782,9176,0,137,"9176",10976,1322,3011,45227000,1.15e+09,"Unranked","Bronze I",99,"25025",3574,557,1148,17244500,0,"Unranked","Unranked",93,TRUE,FALSE,1195227000,0
1639576800,1639614383,43325,0,138,"10741",13,3,411,6188000,1.8e+08,"Unranked","Unranked",81,"43325",6313,912,2211,33215000,7.35e+08,"Unranked","Bronze I",69,FALSE,TRUE,0,768215000
1639666800,1639758513,35739,0,139,"7935",7921,1344,1709,25662000,6.25e+08,"Unranked","Unranked",87,"35739",15174,2484,2863,42997500,1.125e+09,"Unranked","Bronze I",100,FALSE,TRUE,0,1167997500
1639666800,1639917149,8437,0,140,"8437",3342,792,1395,20930000,4.45e+08,"Unranked","Bronze I",25,"38887",1668,456,564,8463000,0,"Unranked","Unranked",25,TRUE,FALSE,465930000,0
1639677600,1639875953,35831,0,141,"35831",8953,2291,2264,33988500,8.9e+08,"Unranked","Bronze I",64,"37450",5077,1082,1585,23796500,6.25e+08,"Unranked","Unranked",69,TRUE,FALSE,923988500,0
1639717200,1639992867,47618,0,142,"47053",219,74,427,6415500,1.8e+08,"Unranked","Unranked",19,"47618",1441,446,784,11784500,0,"Unranked","Bronze I",14,FALSE,TRUE,0,11784500
1639764000,1640020723,39549,0,143,"39549",5265,1216,1963,29484000,6.8e+08,"Unranked","Bronze I",50,"42573",2923,717,842,12649000,0,"Unranked","Unranked",41,TRUE,FALSE,709484000,0
1639684800,1639752318,13789,0,144,"13377",7034,1113,1346,20202000,4.45e+08,"Unranked","Unranked",85,"13789",14034,1517,2843,42679000,1.025e+09,"Unranked","Bronze I",87,FALSE,TRUE,0,1067679000
1639717200,1639918837,44579,0,145,"44579",2111,421,1273,19110000,4.15e+08,"Unranked","Bronze I",14,"47229",566,170,355,5323500,0,"Unranked","Unranked",13,TRUE,FALSE,434110000,0
1639764000,1639797409,41419,0,146,"40692",2156,385,1021,15333500,3.2e+08,"Unranked","Unranked",79,"41419",8656,1817,2336,35080500,7.9e+08,"Unranked","Bronze I",84,FALSE,TRUE,0,825080500
1639756800,1639786604,37595,0,147,"37595",6759,1110,2518,37810500,1.04e+09,"Unranked","Bronze I",81,"38547",356,85,500,7507500,0,"Unranked","Unranked",78,TRUE,FALSE,1077810500,0
1639767600,1639805914,22295,0,148,"22295",9392,1130,2764,41496000,1e+09,"Unranked","Bronze I",95,"28205",2089,379,977,14651000,0,"Unranked","Unranked",88,TRUE,FALSE,1041496000,0
1639756800,1639769025,36891,0,149,"8076",689,106,605,9100000,1.8e+08,"Unranked","Unranked",95,"36891",9290,918,4926,73983000,1.915e+09,"Bronze I","Bronze II",95,FALSE,TRUE,0,1988983000
