"ID","company_type","rating","name","director","employees_hired","employees_capacity","daily_income","daily_customers","weekly_income","weekly_customers","days_old","profileimg","type"
"90730","1","10","Straight Cuts *HIRING!!!*","3145117","10","10","1733420","12292","11882150","95376","1845","2e6cb89f-daf7-44e1-a09f-ba47ef80da07-90730.gif","Hair Salon"
"86211","1","10","Fair Hair","2197653","10","10","1316663","10676","10059474","88477","2149","3c63226e-d77c-4d7b-bff2-0637908e7340-86211.png","Hair Salon"
"89729","1","10","Dragon Cuts - #1 Cuttery","2684774","10","10","1443055","11326","9990885","77738","1916","36dc2fd5-2f27-46f3-8208-88fcb4f17315-89729.gif","Hair Salon"
"102573","1","10","The Crusty Cut","3545028","10","10","1410636","10139","9909539","70566","957","c148d27c-8bd2-49ae-baab-cac18f6fb739-102573.jpg","Hair Salon"
"89769","1","10","BarberFetts","3036422","10","10","1381123","9550","9885727","68349","1913","a085b1b6-70ee-438b-ae0c-4b6704c3089e-89769.jpg","Hair Salon"
"83465","1","10","Fl&#039;hair","2807920","10","10","1391210","10567","9880405","82835","2297","7609f62b-16e4-4be0-8117-cf622599042d-83465.png","Hair Salon"
"106820","1","10","From Frizz To Rizz","2062555","10","10","1335272","11858","9596537","76444","739","bedb0862-b0fd-488c-a70c-4661307a67c3-106820.jpg","Hair Salon"
"97800","1","10","Drunk Barbers","3560856","10","10","1400352","9608","9563144","70034","1274","aecda6f3-2540-0085-2797424.gif","Hair Salon"
"103838","1","10","The Snip","2886465","10","10","1265920","8981","9295945","75656","894","9802891d-d99b-4811-8406-43273ff7c056-103838.png","Hair Salon"
"107840","1","10","Too Sober For This Clip","3177776","10","10","1295505","9698","9290415","76255","691","82fd5e66-dfec-47ab-a3d5-51ed78b69b34-107840.jpg","Hair Salon"
"112632","1","10","Houseofstar(hiring,apply)","3887740","10","10","1297790","10779","9229442","77164","472","7135f945-8238-4261-88ea-b88e2d97bb4a-112632.jpg","Hair Salon"
"100636","1","10","Peroxide Palace","3588374","10","10","1364492","10545","9206939","74421","1062","56a5e29f-678f-5095-2698173.jpg","Hair Salon"
"72966","1","10","Edge","2393235","10","10","1252828","8393","8949350","64955","2948","07cb2e7f-60f0-467f-9bcb-567d8466a2b6-72966.png","Hair Salon"
"89864","1","10","WTF Mullets And Mohawks","2901592","10","10","1311181","10111","8937349","66526","1905","a08e9c68-96ea-4420-ac46-017ff5b1014a-89864.gif","Hair Salon"
"92751","1","10","Beauty School","2619039","10","10","1304680","11912","8807525","73311","1684","91264160-a742-4ca5-870c-2c906992d198-92751.png","Hair Salon"
