uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
10003,Shady69,100,1718868169,89,Catalysis,3.32,4.16,2.29,3748.37,0.81,0.23,3.39,1.41,0.07,0.53,12371288960
1000524,-FB-Projectxrun,100,1718873303,16312,39th Street Killers X,5.76,15.93,3.02,14516.06,0.01,0.04,11.11,5.33,0.83,1,4011156303
1001196,Saren_Arterius,100,1718874922,13851,Nuclear Therapy,6.73,9.72,2.53,10469.67,1.32,0.76,0.06,3.56,0.67,0.92,4123540900
1001325,BuGsY,100,1718864599,41768,Aces Elite,0,8.06,2.04,1884.09,0,0.06,0,0.22,0.21,0.91,4172573482
1003202,iky,75,1718876744,38634,Takut Bini Army of Light,4.41,8.34,2.37,1408.94,0.03,0.01,0.09,33.89,0.19,0.81,2935755319
1004470,Blackdread,60,1718877654,39756,Abusement Park,0.2,4.44,2.72,2443.31,0,0,0,0,0.1,0.88,1527731235
1005145,Kamikaze-Rawr,100,1718848859,8938,Arcadia,0.32,3.6,2.56,1465.4,0,0.03,0.06,0.22,0.01,0.91,4233939511
100606,nitrogenous,80,1718849675,33007,HAKA,1.78,2.24,2.53,8454.26,0.06,0.14,1.58,5.56,0,0.97,2814170286
1007672,bobiii,100,1718877180,27312,SA  Equilibrium,0.42,2.88,2.42,2390.3,0,0.1,0.22,26.52,0.94,0.91,10500925607
1007792,Streets,90,1718853035,49380,Crows,7.72,8.58,2.31,5718.27,0.02,0.08,0.04,8.26,0.09,0.77,1859054784
1009117,Forrest1980,100,1718849952,11747,Natural Selection II,0.41,0.97,2.01,1801.3,0.01,0.16,2.08,22.04,0,0.93,4964002480
1009309,yawzaw,100,1718876291,16312,39th Street Killers X,0.39,3.16,2.44,2983.49,0.02,0.1,0.19,0,0.06,0.9,8125117939
1009539,kamas,100,1718872027,8336,Monarch HQ,2.04,5.26,2.47,5804.74,0,0.06,0.5,11,0.66,0.92,12085033252
1009654,stephenm,91,1718868632,8802,Ram Rajya,0.24,0.26,2.09,1267.18,0,0.07,0,2.5,0,0.84,3357259769
1009768,QueenRhi,47,1718871724,14768,RISE FROM RUIN,0.11,0.11,2.18,888.73,0,1.4,0.14,0,0,0.91,471654861
1009778,AznAntony,100,1718873210,16282,Nuclear Winter,1.2,3.2,2.63,3723.51,0.16,0.23,1.32,2.64,0.32,0.86,6961655216
1009930,_T_,100,1718855923,28349,Dexter&#039;s Laboratory,3.02,6.38,2.16,6262.03,0.43,0.14,1.23,54.77,0.81,0.88,8342585046
