"ID","tag_image","respect","name","leader","age","tag","co_leader","capacity","members","rank","division","level","position","wins","leader_name","co_leader_name","leader_last_action"
7182,"7182-0.png",0,"Visionaries",446634,5712,"",0,15,0,"Unranked",0,1,0,0,NA,NA,NA
8629,"8629-44676.png",0,"Marvel Fanatics",463971,5573,"M~F",0,30,0,"Unranked",0,1,0,0,NA,NA,NA
8828,"8828-0.png",0,"Healer faction recruit me",375179,5554,"DOCS",0,50,0,"Unranked",0,1,0,0,NA,NA,NA
8981,"8981-82909.png",0,"Unrelenting",2066685,5539,"UR1",0,100,0,"Unranked",0,1,0,0,NA,NA,NA
11102,"11102-0.png",0,"Attorney at Law",1597718,5343,"AaT",0,50,0,"Unranked",0,1,0,0,NA,NA,NA
11332,"11332-0.png",0,"Hatecrew Deathroll",64877,5328,"HcDr",0,20,0,"Unranked",0,1,0,0,NA,NA,NA
13972,"13972-50770.png",0,"Bloods 2.0",2223426,5125,"OTF",0,25,0,"Unranked",0,1,0,0,NA,NA,NA
14435,"14435-0.png",0,"Crippling_Desire",581373,5083,"",0,30,0,"Unranked",0,1,0,0,NA,NA,NA
16452,"16452-67390.png",0,"The Troublemakerz",921320,4892,"LEHG",0,20,0,"Unranked",0,1,0,0,NA,NA,NA
16888,"16888-52563.png",0,"Borg Collective",194907,4871,"BC",0,50,0,"Unranked",0,1,0,0,NA,NA,NA
17562,"17562-26076.png",0,"Silver Town",463126,4847,"",0,50,0,"Unranked",0,1,0,0,NA,NA,NA
19529,"19529-33755.png",0,"Lumios",885465,4675,"",0,30,0,"Unranked",0,1,0,0,NA,NA,NA
20683,"20683-0.png",0,"caped-crusaders",1453652,4535,"CC",0,15,0,"Unranked",0,1,0,0,NA,NA,NA
20777,"20777-0.png",0,"Kojin",1687639,4522,"KOJN",0,15,0,"Unranked",0,1,0,0,NA,NA,NA
22829,"22829-17360.png",0,"V.V.V. Recruiting",368917,4289,"VVV",0,80,0,"Unranked",0,1,0,0,NA,NA,NA
23016,"23016-0.png",0,"McPache",1608375,4269,"Apac",0,30,0,"Unranked",0,1,0,0,NA,NA,NA
23797,"23797-0.png",0,"Vancouver Island",258808,4181,"[VI]",0,15,0,"Unranked",0,1,0,0,NA,NA,NA
