"ID","tag_image","respect","name","leader","age","tag","co_leader","capacity","members","rank","division","level","position","wins","leader_name","co_leader_name","leader_last_action"
19,"19-91655.png",12233333,"39th Street Killers",1326199,5712,"39th",2333247,100,87,"Platinum",3,17,0,14,"Shoop","gpenney736",1702458487
33,"33-0.png",128424,"Honour and Pride",68358,5712,"H&P",0,20,3,"Unranked",0,1,0,0,"Stetson",NA,1692659369
59,"59-0.png",142191,"Old Faction For Sale",300483,5712,"",0,80,2,"Unranked",0,1,0,0,"Cool_Breeze",NA,1702455008
74,"74-0.png",140110,"The Cabinet",153855,5712,"Mr.",0,50,2,"Unranked",0,1,0,0,"Malandrix",NA,1701795850
89,"89-17186.png",11803718,"Catalysis",10003,5712,"CR",1537436,100,93,"Diamond",3,21,15,14,"Shady69","JrPacman",1702445221
95,"95-44313.png",3991698,"MORTAL LEGENDS",698958,5712,"MOLD",1211171,100,96,"Unranked",0,1,0,0,"MRCHEESE","Vinny187",1702465200
195,"195-39334.png",258981,"The Horde",1088045,5712,"~TH~",232500,50,6,"Unranked",0,1,0,0,"raprockmusic2","WinterX",1702458065
230,"230-31936.png",13794849,"PT-Family",2313936,5712,"PT",1579225,100,96,"Diamond",4,22,2,19,"zuni","Papaguem",1702446767
231,"231-81058.png",12296117,"Destructive Anomaly",1642775,5712,"[ÐA]",1372430,100,89,"Diamond",6,24,9,18,"Silver_Rose","DrChrono",1702462767
355,"355-1327.png",4405517,"Notorious Crew",2931056,5712,"NC",2571968,100,30,"Gold",1,11,0,9,"Doves","Joeldrun",1702441613
366,"366-89014.png",6991059,"Evolution",1565175,5712,"NUKE",2272381,100,100,"Platinum",1,15,0,5,"Anemoon","Nilv",1702466162
475,"475-68006.png",349221,"Screaming Eagles",2066063,5712,"EASY",0,100,5,"Unranked",0,1,0,0,"Calsome",NA,1671634570
478,"478-96714.png",4727223,"PT-ShadowRazers",1476472,5712,"PT",209485,100,77,"Platinum",3,17,0,13,"paddybhoy1","predator101",1702457681
525,"525-59646.png",3330026,"SA Ministry of Mayhem",14297,5712,"MoM",2273492,100,98,"Platinum",2,16,0,7,"-Atlas-","Spatula",1702466738
581,"581-0.png",118306,"~FB4E~",70553,5712,"FB4E",122825,80,2,"Unranked",0,1,0,0,"FreeBird4EvEr","TinkerBell",1702429255
695,"695-0.png",27777,"Indigo stained eyes",272893,5712,"",0,15,1,"Unranked",0,1,0,0,"Jedioutcast",NA,1702339596
787,"787-1431.png",66714,"La Guerilla",459767,5712,"**",0,30,2,"Unranked",0,1,0,0,"gurl660",NA,1630845077
886,"886-43370.png",143250,"The 420 Inc",280712,5712,"420™",1424461,50,10,"Unranked",0,1,0,0,"Smokey","_PaiN_",1702462048
891,"891-0.png",28066,"Glogow",161123,5712,"o.0",484536,20,3,"Unranked",0,1,0,0,"johrael","khanster",1601564551
937,"937-85580.png",7166607,"Sport Club",1673083,5712,"SC",1618905,100,97,"Diamond",1,19,24,14,"gazaras","Marijus",1702459778
946,"946-70192.png",10561969,"PT-IronHearts",2268831,5712,"PT",0,100,94,"Platinum",1,15,0,14,"Kalaya",NA,1702461098
