"name","level","state","details","desc","position","uid","date","toprint","faction","fid"
"chadrack",7,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3103990","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3103990]chadrack [3103990][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Kupu-Kupu",16,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3140605","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3140605]Kupu-Kupu [3140605][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Kiky_Saputri",16,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3140679","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3140679]Kiky_Saputri [3140679][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Biban",13,"Federal","Multiple accounts","In federal jail for 7 days","Dopehead Jnr","3148277","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3148277]Biban [3148277][/url] - In federal jail for 7 days (Multiple accounts)","none",0
"LUCKYCHARMBOY",3,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3201721","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3201721]LUCKYCHARMBOY [3201721][/url] - In federal jail permanently (Account marked for deletion)","none",0
"djenki",2,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3205401","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3205401]djenki [3205401][/url] - In federal jail permanently (Account marked for deletion)","none",0
"313d",3,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3218129","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3218129]313d [3218129][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Deigo4uApe",6,"Federal","Account marked for deletion","In federal jail permanently","Dopehead Jnr","3224229","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3224229]Deigo4uApe [3224229][/url] - In federal jail permanently (Account marked for deletion)","none",0
"MikeyZZ",7,"Federal","Account marked for deletion","In federal jail permanently","Locked up","3229354","2024-05-09","[url=https://www.torn.com/profiles.php?XID=3229354]MikeyZZ [3229354][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Candie_500",65,"Federal","Account marked for deletion","In federal jail permanently","Fam","123013","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=123013]Candie_500 [123013][/url] - In federal jail permanently (Account marked for deletion)","none",0
"DragonDark",20,"Federal","Account marked for deletion","In federal jail permanently","Fam","295496","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=295496]DragonDark [295496][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Calsome",15,"Federal","Account marked for deletion","In federal jail permanently","Leader","2066063","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2066063]Calsome [2066063][/url] - In federal jail permanently (Account marked for deletion)","none",0
"LindseyVonn",15,"Federal","Account marked for deletion","In federal jail permanently","Member","2094477","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2094477]LindseyVonn [2094477][/url] - In federal jail permanently (Account marked for deletion)","none",0
"DianaBernie",15,"Federal","Account marked for deletion","In federal jail permanently","Member","2094561","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2094561]DianaBernie [2094561][/url] - In federal jail permanently (Account marked for deletion)","none",0
"gual-i-crush",16,"Federal","Account marked for deletion","In federal jail permanently","Member","2102491","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2102491]gual-i-crush [2102491][/url] - In federal jail permanently (Account marked for deletion)","none",0
"lignocaine",20,"Federal","Account marked for deletion","In federal jail permanently","Member","2185272","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2185272]lignocaine [2185272][/url] - In federal jail permanently (Account marked for deletion)","none",0
"joelCAMEL",92,"Federal","Account marked for deletion","In federal jail permanently","Member","287086","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=287086]joelCAMEL [287086][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Profusion",41,"Federal","Account marked for deletion","In federal jail permanently","Member","446661","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=446661]Profusion [446661][/url] - In federal jail permanently (Account marked for deletion)","none",0
