NumID,status_descr,status_details,playername,level,playerage,rank,InitSignUp,last_action,total_duration,total_units,Date Added
1358987,In federal jail permanently,Account marked for deletion,Keeshondje,85,4447,Legendary Jobsworth,11/2/2009 8:52:57 AM,1/1/2022 4:10:58 PM,4,days,1/5/2022 9:33:57 PM
1642972,In federal jail permanently,Account marked for deletion,Nimshi,10,3490,Below average Nudist,6/16/2012 4:40:04 PM,1/4/2022 6:46:24 PM,1,day,1/5/2022 9:33:57 PM
1700550,In federal jail permanently,Account marked for deletion,EmilyDavies2312,58,3286,Supreme Alcoholic,1/6/2013 10:50:29 PM,1/4/2022 2:21:10 PM,1,day,1/5/2022 9:33:57 PM
1757780,In federal jail permanently,Account marked for deletion,Melangell,32,3089,Distinguished Intimidator,7/23/2013 4:19:52 AM,1/5/2022 12:44:02 PM,16,hours,1/5/2022 9:33:57 PM
1793502,In federal jail permanently,Account marked for deletion,SuperLoser,6,2987,Novice Hoarder,11/1/2013 5:14:21 PM,1/4/2022 6:37:02 PM,1,day,1/5/2022 9:33:57 PM
1810955,In federal jail permanently,Account marked for deletion,tawparp,6,2946,Novice Scavenger,12/12/2013 8:30:32 PM,1/5/2022 4:01:07 AM,1,day,1/5/2022 9:33:57 PM
1874440,In federal jail permanently,Account marked for Deletion,Kreacher69,45,2598,Highly distinguished Alcoholic,11/25/2014 8:53:31 PM,1/2/2022 4:32:27 AM,4,days,1/5/2022 9:33:57 PM
1907502,In federal jail permanently,Account marked for deletion,FIynn,15,2467,Reasonable Slayer,4/5/2015 12:35:47 PM,1/5/2022 12:37:51 PM,17,hours,1/5/2022 9:33:57 PM
1977991,In federal jail permanently,Account marked for deletion,queenbee69,33,2159,Veteran Alcoholic,2/7/2016 6:50:04 PM,1/2/2022 4:54:56 AM,4,days,1/5/2022 9:33:57 PM
1981599,In federal jail permanently,Account marked for deletion,will2kill,22,2135,Reasonable Alcoholic,3/2/2016 9:15:30 PM,1/2/2022 5:27:33 AM,4,days,1/5/2022 9:33:57 PM
2094982,In federal jail permanently,Real money trading,Eestimets56,35,1476,Star Mobster,12/21/2017 9:29:57 AM,1/4/2022 3:34:05 PM,1,day,1/5/2022 9:33:57 PM
2127328,In federal jail permanently,Account marked for deletion,Pock,16,1326,Reasonable Nudist,5/20/2018 7:36:32 AM,1/5/2022 12:38:34 PM,16,hours,1/5/2022 9:33:57 PM
2129683,In federal jail permanently,Account marked for deletion,MELOXx,3,1323,Beginner Nudist,5/23/2018 6:23:52 AM,1/3/2022 7:20:26 PM,2,days,1/5/2022 9:33:57 PM
2148869,In federal jail permanently,Account marked for deletion,Toxic_Hand,17,1274,Above average Scavenger,7/11/2018 4:02:56 AM,1/5/2022 12:37:35 PM,14,hours,1/5/2022 9:33:57 PM
2220322,In federal jail permanently,Account marked for deletion,The_Morrigan,43,1096,Distinguished Scavenger,1/5/2019 11:16:44 AM,1/1/2022 5:29:27 PM,4,days,1/5/2022 9:33:57 PM
2233486,In federal jail permanently,Account marked for deletion,badomen,13,1073,Novice Alcoholic,1/28/2019 2:11:45 PM,1/2/2022 10:41:36 AM,3,days,1/5/2022 9:33:57 PM
2246031,In federal jail permanently,Account marked for deletion,Droppy,47,1054,Star Mobster,2/16/2019 6:25:19 AM,1/2/2022 6:47:52 PM,3,days,1/5/2022 9:33:57 PM
2269225,In federal jail permanently,Account marked for deletion,Louisetrett,15,1017,Novice Scavenger,3/25/2019 1:51:19 PM,1/4/2022 2:35:12 PM,1,day,1/5/2022 9:33:57 PM
2411506,In federal jail permanently,Staff see notes,Terx,8,803,Rookie Boxer,10/25/2019 8:27:23 AM,1/2/2022 6:08:45 PM,3,days,1/5/2022 9:33:57 PM
2468387,In federal jail permanently,Account marked for deletion,Baphomet6969,21,718,Reasonable Alcoholic,1/18/2020 7:34:31 PM,1/2/2022 5:13:56 AM,3,days,1/5/2022 9:33:57 PM
2478078,In federal jail temporarily,Account held until further notice,Apartinggift,26,707,Highly competent Healer,1/29/2020 2:36:11 PM,1/4/2022 8:24:25 PM,1,day,1/5/2022 9:33:57 PM
2501966,In federal jail permanently,Account marked for deletion,MrsValfrost,15,678,Average Nudist,2/28/2020 2:27:16 AM,1/3/2022 10:25:40 AM,2,days,1/5/2022 9:33:57 PM
2510539,In federal jail permanently,Account marked for deletion,TlDl,43,663,Distinguished Boxer,3/13/2020 11:33:51 AM,1/5/2022 12:53:47 PM,15,hours,1/5/2022 9:33:57 PM
2596705,In federal jail permanently,Account marked for deletion,MariaValfrost,8,518,Rookie Loser,8/5/2020 1:54:47 PM,1/3/2022 10:26:17 AM,2,days,1/5/2022 9:33:57 PM
2597190,In federal jail permanently,Account marked for deletion,DrugLord,25,516,Above average Nudist,8/7/2020 6:42:36 AM,1/5/2022 3:30:19 PM,12,hours,1/5/2022 9:33:57 PM
2597795,In federal jail permanently,Account marked for deletion,111111111111112,9,514,Rookie Nudist,8/10/2020 4:05:49 AM,1/3/2022 10:26:37 AM,2,days,1/5/2022 9:33:57 PM
2621464,In federal jail permanently,Account marked for deletion,Daviiid,17,421,Above average Hoarder,11/10/2020 4:29:04 PM,1/3/2022 12:12:09 PM,2,days,1/5/2022 9:33:57 PM
2625263,In federal jail permanently,Account marked for deletion,brytemorio,33,408,Veteran Egotist,11/24/2020 12:37:48 AM,1/1/2022 10:51:25 AM,4,days,1/5/2022 9:33:57 PM
2633998,In federal jail permanently,Account marked for deletion,jamie6825,1,380,Absolute beginner Punchbag,12/21/2020 5:12:14 PM,1/2/2022 5:21:19 AM,4,days,1/5/2022 9:33:57 PM
2659745,In federal jail temporarily,Account held until further notice,RipnDipQueen,58,319,Star Intimidator,2/21/2021 12:47:06 AM,1/4/2022 4:18:37 PM,1,day,1/5/2022 9:33:57 PM
2681866,In federal jail permanently,Account marked for deletion,JustTakeIt,7,228,Below average Nudist,5/22/2021 7:40:21 AM,1/3/2022 10:27:12 AM,2,days,1/5/2022 9:33:57 PM
2687929,In federal jail permanently,Account marked for deletion,XXMidNightyyXX,14,205,Average Slayer,6/14/2021 5:06:53 PM,1/1/2022 6:31:12 PM,4,days,1/5/2022 9:33:57 PM
2689488,In federal jail permanently,Account marked for deletion,__sinai__,19,200,Reasonable Nudist,6/20/2021 1:39:13 AM,1/1/2022 10:23:41 AM,4,days,1/5/2022 9:33:57 PM
2692051,In federal jail permanently,Account marked for deletion,LazyBoy65,15,189,Reasonable Samaritan,6/30/2021 9:26:11 AM,1/2/2022 12:24:11 PM,3,days,1/5/2022 9:33:57 PM
2692419,In federal jail permanently,Account marked for deletion,Double_K,4,188,Inexperienced Hoarder,7/2/2021 12:01:01 AM,1/2/2022 1:50:51 PM,3,days,1/5/2022 9:33:57 PM
2704075,In federal jail permanently,Account marked for deletion,Robindahood,18,134,Above average Samaritan,8/25/2021 4:20:07 AM,12/16/2021 3:49:18 AM,21,days,1/5/2022 9:33:57 PM
