cor,V2,V3,N2,N1
0.940657011656658,1608219,1596275,19,19
0.911741528762805,3247949,2702190,27,27
0.879188815313851,2990104,2968593,20,25
0.854000232040936,2380317,179208,125,119
0.849158249158249,3284570,3246929,33,33
0.844535745487828,3102618,2704974,19,16
0.841723925668373,2494301,1546551,125,127
0.829774102528465,3285931,2501816,34,31
0.824922330753674,1328039,1295794,97,88
0.824726530988839,3527677,3525519,38,32
0.819999520753484,2953309,1878832,115,116
0.813333333333334,3528670,3524853,18,18
0.812067483074264,2840623,2839219,32,34
0.806477556972561,3380679,3329079,31,38
0.805249787442791,2668287,1546551,125,115
0.801036440296944,2770738,320064,117,119
0.79868536050484,3487587,2640064,120,118
0.798471225633993,3300790,1546551,125,124
0.797881869242486,3416801,3362100,45,36
0.797048149956915,3541994,2668287,115,105
0.796661034203885,2041747,865186,108,104
0.792763157894737,3360272,3294221,16,16
0.792292376850309,2995674,2668287,115,116
0.79214905343386,2994288,1997011,114,119
0.791819201713458,1297939,541153,98,105
0.789887628648513,2380317,48911,109,119
0.789662442837427,3509812,2985726,111,125
0.787935154282749,2908985,2538827,122,124
0.787491188816194,3464465,2958460,43,52
0.787299826932584,3284082,2943223,20,15
0.786268376087444,3455304,3411644,115,104
0.785495207897342,3272175,2538827,122,107
0.785283381990164,3487587,2770738,119,118
0.782840326349447,3495024,3471787,120,107
0.782690898130805,2640064,1990913,119,120
0.781690435487979,3487587,179208,125,118
0.781481100952768,3205653,1878832,115,106
0.780821810491973,3445172,320064,117,113
0.780666452011329,2054500,1154897,111,106
0.777843589937273,3376130,3158025,123,120
0.776395967064757,2640064,179208,125,120
0.77388551183305,2233947,2233902,35,25
0.773880839966699,2027090,1546551,125,133
0.772675240335179,3029864,2996421,28,20
0.772354022749736,2966467,2775485,106,120
0.772002262024573,1997011,1154897,111,114
0.769507803121249,2380317,1990913,119,119
0.769314289516971,3155705,2985726,111,105
0.76926756906879,3251643,2555730,27,30
0.768636931281326,2836941,505043,106,108
0.767842246514857,3382517,2775485,106,110
0.767571598917257,3171155,2775485,106,112
0.767033380525649,3544409,3489897,119,121
0.766895711461516,2775485,179208,125,106
0.765172418268074,3489897,3429433,123,119
0.765124255842502,3429433,2487732,132,123
0.764585232947134,3012457,2668287,115,116
0.764046417445566,3471787,3459548,122,120
0.763973853260632,1990913,179208,125,119
0.763874254029413,3367657,3364974,43,42
0.763510185525075,3546658,2953309,116,103
0.763496767135166,2937590,2380317,119,127
0.763025451161616,3429433,505043,106,123
0.761943319838057,3060341,2163135,38,38
0.761501905292259,3471787,3411644,115,120
0.761499937545733,3471787,2487732,132,120
0.7601352791663,3382517,2966467,120,110
0.760119230860557,2994288,2792921,116,119
0.75879428042373,2873277,1546551,125,130
0.758752234447291,3408125,2655217,29,24
0.758023291334053,3378701,3031314,106,105
0.757986612607202,2995674,1546551,125,116
0.757981404137706,2910688,2792921,116,105
0.757621942960015,2775485,1990913,119,106
0.757459198492434,1754075,1328039,88,77
0.757187779440037,3509812,3155705,105,125
0.75716925603435,2994288,1154897,111,119
0.756640827023958,3487587,2380317,119,118
0.756398081281093,3495024,505043,106,107
0.755635864587999,2912108,2898936,23,16
0.755277621840932,3522652,2538827,122,126
0.755254740611815,3529778,2775485,106,109
0.754675488897752,3495024,2836941,108,107
0.754497599157933,3031314,165392,113,106
0.754068262811894,3158025,179208,125,123
0.753702346348183,2966467,1990913,119,120
0.752810492738599,2112641,520168,99,103
0.752333210556637,2994288,2220399,113,119
0.752254227313308,2792921,1997011,114,116
0.751455388159601,2758625,1154897,111,101
0.751339219324809,2838827,2538827,122,119
0.750716427384752,3517974,337027,67,65
0.750010610229677,3489897,2487732,132,119
