cor,V2,V3,N2,N1
0.940657011656658,3211219,3252934,19,19
0.869107908063888,3692684,3692695,17,17
0.863731292724622,3271749,3279758,21,27
0.820673331558209,3613478,3628341,23,22
0.813622672842071,610402,3652667,22,21
0.805866520846256,1382159,2059552,21,20
0.769059215604642,3693396,3694393,34,37
0.762011415163876,1974861,3535374,73,79
0.74915200434377,3659372,3659744,24,22
0.729909786309017,3191907,3686485,17,20
0.720498039796753,3693329,3694393,34,33
0.720082299823096,2426000,2962601,24,21
0.704706814322753,2794805,2795856,23,28
0.703285058283292,3172683,3459106,19,19
0.701923846154648,1328039,1339487,87,88
0.697315236568627,2794803,2794805,28,17
0.697067779275116,3252934,3253115,22,19
0.690649028124644,1968355,3538951,56,37
0.69056847582373,2879184,2914371,67,52
0.689616629418908,1297939,1328039,88,90
0.68345662963265,2152771,3200657,24,34
0.679077972993132,2070555,2241779,67,69
0.673866842011972,2291474,3349937,33,21
0.672610184582764,3688495,3688553,25,20
0.672546910868935,1328039,2655433,78,88
0.669780203062192,168534,1955367,56,74
0.668856054059939,2925282,3676760,16,32
0.666682505383474,3659372,3659763,23,22
0.662134915827021,2655268,2665073,61,78
0.654690779707024,1418060,3366717,89,86
0.651976139361999,2551933,3065542,28,21
