uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,Stats,total
10003,Shady69,100,1718868169,89,Catalysis,1307,21626,6053,22023458,1110,1073,12275,24436,738,1815,0,12371288960
1000418,zorrow,55,1718860595,40692,Kingdom of Asgard,21,4869,1650,2408459,4,18,4,0,18,458,0,1657421512
1000524,-FB-Projectxrun,100,1718873303,16312,39th Street Killers X,1052,9199,3405,8482246,99,286,3205,17157,652,966,0,4011156303
1001196,Saren_Arterius,100,1718874922,13851,Nuclear Therapy,2887,25044,3114,14357222,468,1661,1184,23389,1014,1698,0,4123540900
1001325,BuGsY,100,1718864599,41768,Aces Elite,703,13226,3957,5238733,180,137,69,3601,223,1406,0,4172573482
1001850,fcgo,30,1718863665,46805,Hummingbirds,0,255,1,300822,0,0,0,0,35,6,0,321861
1003202,iky,75,1718876744,38634,Takut Bini Army of Light,1449,8086,3457,5154968,7,263,220,10915,498,631,0,2935755319
1004229,duey,85,1718852452,35507,The Nest,1019,4124,1741,2663794,44,23,178,10545,142,929,0,1490214273
1004470,Blackdread,60,1718877654,39756,Abusement Park,301,3837,1723,2752123,0,35,18,0,194,566,0,1527731235
100495,chronik,65,1718847477,9524,HT-Fenris,99,4531,1521,5682165,0,1,5,0,115,227,0,722875141
1005145,Kamikaze-Rawr,100,1718848859,8938,Arcadia,512,9155,4614,6602391,109,87,272,1530,268,615,0,4233939511
1005356,JimBeam,89,1718862189,40039,Black & White,1898,9075,3162,7270002,442,434,643,0,239,1957,0,4778118487
1005953,xMiguelx,92,1718853333,22781,The Wolverines,325,6719,3254,2592191,26,166,267,262,31,1537,0,3044300578
100606,nitrogenous,80,1718849675,33007,HAKA,343,3055,1063,3461295,16,658,249,500,108,900,0,2814170286
1006698,Calin,91,1718840829,18569,Romania Elite Kommando,1081,6993,3267,2382016,125,159,179,12377,393,1793,0,3335960347
1006747,SPMSG,81,1718871860,15151,The ZOO,379,3237,1598,1344329,4,125,737,3157,374,1054,0,1230281054
1007258,Dilma,78,1718851473,478,PT-ShadowRazers,389,1951,2324,1892096,1,75,45,14,78,330,0,2166711940
1007507,crazygamer2091,50,1718846915,46442,The Resolute,338,4826,1548,4537770,20,41,57,0,125,663,0,1348034491
1007672,bobiii,100,1718877180,27312,SA  Equilibrium,171,10335,9909,8030662,163,255,287,36494,871,3951,0,10500925607
1007708,Djsalamon,100,1718853166,937,Sport Club,1178,16992,4345,6649530,169,225,1272,19275,1066,2429,0,7114907435
1007792,Streets,90,1718853035,49380,Crows,2780,6872,2372,7287033,46,210,1176,7856,280,877,0,1859054784
1008516,BigWill,66,1718876857,8400,Lingering Insanity,114,3255,236,1273367,0,109,59,19305,470,378,0,140813064
1008661,FryFenix,69,1718850254,15046,We Are Rising,314,4771,1352,1862827,24,163,38,515,181,626,0,417431002
1009117,Forrest1980,100,1718849952,11747,Natural Selection II,456,7943,3815,4136338,80,372,4046,24364,406,2001,0,4964002480
1009309,yawzaw,100,1718876291,16312,39th Street Killers X,848,13460,7343,16101348,90,160,354,0,237,2758,0,8125117939
1009539,kamas,100,1718872027,8336,Monarch HQ,854,24543,9734,22880889,138,77,4000,55874,2015,3731,0,12085033252
1009654,stephenm,91,1718868632,8802,Ram Rajya,510,3689,3241,1922501,32,308,172,6956,269,1434,0,3357259769
1009768,QueenRhi,47,1718871724,14768,RISE FROM RUIN,11,623,1103,1123903,0,296,17,0,11,619,0,471654861
1009778,AznAntony,100,1718873210,16282,Nuclear Winter,1107,17455,6167,8932625,628,559,2241,26523,940,1967,0,6961655216
1009878,python,100,1718878133,20718,Slithering Slayers,3887,24264,2871,38126605,1212,422,544,12755,685,688,0,2223393804
1009930,_T_,100,1718855923,28349,Dexter&#039;s Laboratory,596,17076,6602,18386395,73,1006,1246,19483,980,3403,0,8342585046
1010204,ZoNeD,69,1718877406,30009,White Rabbits,494,3335,1524,4657905,31,32,275,1877,525,633,0,1086923949
1010587,myshoeshurt,100,1718868232,16628,Chain Reaction,1166,58266,6049,61400288,46,4704,3334,54372,1087,2762,0,4761574927
1010984,SaripD0L,99,1718866597,9055,Natural Selection IV,411,7789,5474,4700565,135,15,70,28433,402,1338,0,6161224440
1012262,Cineva,94,1718878162,18569,Romania Elite Kommando,695,3586,5384,3376756,45,53,66,270,278,1358,0,5439053546
1012783,charlie0768,81,1718876674,15929,The Inquisition,784,7786,2288,4599388,217,1202,222,23308,149,1403,0,4641918633
1013697,Theiss,42,1718845557,15930,HellBound,121,252,302,338831,9,2,3,877,28,119,0,110056176
1013799,KyleWaxedU,100,1718851147,20747,Damage Inc,3289,28569,6083,33058401,2614,1772,7022,10312,106,3071,0,8519597102
1013891,Hitman_AgentX,64,1718875791,28073,Shiny Hoard Avian Team,69,5747,325,1371489,0,131,30,56187,1510,101,0,8296959
1014257,Painkiller,100,1718874852,230,PT-Family,1367,20176,13228,21195021,431,904,4451,32974,760,5131,0,15940713636
1014409,Brad0812,92,1718856842,9032,Wolf Pack,621,7421,2922,19623120,101,324,765,11568,130,899,0,3989187929
1014686,Celt,69,1718852052,12249,Aurora Surrealis,58,3713,1887,2481148,27,268,39,802,84,2140,0,2418536407
1015147,PsychoKitty,100,1718869982,7652,Alley Cats,403,29397,3325,9808609,33,544,1953,119062,2981,3955,0,6448988036
