faction,name,fname,members,rank
0,AGA,,,
0,AGD,,,
0,AID,,,
0,AJC,,,
0,ALB,,,
0,AOC,,,
0,ASD,,,
0,AYD,,,
0,BFA,,,
0,BIE,,,
0,BMB,,,
0,BQG,,,
0,BZB,,,
0,CCF,,,
0,CEC,,,
0,CGA,,,
0,CLB,,,
0,CMB,,,
0,CQC,,,
0,CQG,,,
0,CYE,,,
0,DCF,,,
0,DDC,,,
0,DFE,,,
0,DKB,,,
0,DMB,,,
0,DMF,,,
0,DOG,,,
0,DPC,,,
0,DRB,,,
0,DRC,,,
0,DSG,,,
0,DWF,,,
0,ECF,,,
0,EDA,,,
0,EDF,,,
0,EFD,,,
0,EGC,,,
0,EIE,,,
0,EMF,,,
0,ENG,,,
0,EPC,,,
0,ESG,,,
0,EVE,,,
0,FAF,,,
0,FDA,,,
0,FJF,,,
0,FKB,,,
0,FPC,,,
0,FSC,,,
0,FSD,,,
0,FSG,,,
0,FVE,,,
0,FWE,,,
0,FYB,,,
0,GAB,,,
0,GAG,,,
0,GEF,,,
0,GFD,,,
0,GLB,,,
0,GMC,,,
0,GNG,,,
0,GQD,,,
0,GSC,,,
0,GTD,,,
0,HDG,,,
0,HEE,,,
0,HIE,,,
0,HKF,,,
0,HMC,,,
0,HNC,,,
0,HPC,,,
0,HQC,,,
0,HXB,,,
0,HZE,,,
0,IDG,,,
0,IHA,,,
0,IKD,,,
0,ILF,,,
0,INB,,,
0,IWB,,,
0,IWE,,,
0,JAE,,,
0,JAF,,,
0,JDA,,,
0,JEA,,,
0,JEC,,,
0,JEF,,,
0,JGE,,,
0,JHF,,,
0,JIA,,,
0,JIE,,,
0,JPC,,,
0,JSB,,,
0,JXB,,,
0,KAE,,,
0,KCD,,,
0,KCF,,,
0,KDA,,,
0,KEB,,,
0,KGD,,,
0,KGE,,,
0,KIE,,,
0,KNB,,,
0,KPC,,,
0,KPG,,,
0,KQC,,,
0,LDC,,,
0,LDF,,,
0,LHC,,,
0,LHF,,,
0,LJF,,,
0,LKD,,,
0,LNG,,,
0,LOF,,,
0,LPC,,,
0,LPF,,,
0,LQC,,,
0,MGE,,,
0,MHF,,,
0,MLA,,,
0,MOD,,,
0,MOF,,,
0,MPF,,,
0,MRC,,,
0,MTG,,,
0,MWG,,,
0,NAD,,,
0,NCB,,,
0,NEC,,,
0,NGB,,,
0,NJA,,,
0,NMA,,,
0,NMB,,,
0,NPD,,,
0,NPF,,,
0,NTE,,,
0,NVE,,,
0,OAD,,,
0,OCB,,,
0,OFA,,,
0,OGB,,,
0,OIC,,,
0,OKD,,,
0,OPE,,,
0,OPF,,,
0,OQB,,,
