"Name","ID","Level","Prep_Xanax","Prep_Overdose","War_Hits","Non_War_Hits","Hospital","Assists","War_Xanax","War_Overdose","Boosters","Cans","Refills","Activity","Respect","Respect_Lost","Score_Up","Score_Down","E_Wasted","E_Stolen"
"Fugazee","79073",69,4,FALSE,21,0,1,4,0,0,0,2,1,1.006,230.32,2.01,230.32,8.04,50,50
"cuddy","208697",81,4,FALSE,26,0,9,10,1,0,0,0,0,0.076,242.2,16.96,242.2,51.6,100,0
"ryggmafia","377505",46,0,FALSE,3,1,2,0,0,0,0,0,1,0.017,31.21,2.45,26.72,0,75,50
"Nutte","430470",100,0,FALSE,10,0,9,4,0,0,0,0,0,0.172,117.61,26.01,117.61,99.8,0,0
"Alter_Ego","487146",26,0,FALSE,27,0,2,5,0,0,0,1,1,1.302,306.76,6.26,306.76,25.02,50,75
"wuhuu","866306",70,4,FALSE,2,0,6,0,0,0,0,0,0,0.279,23.82,15.34,23.82,56.41,0,100
"Nywro","868554",99,0,FALSE,5,0,3,1,0,0,0,0,0,0.444,59.6,4.62,59.6,9.57,50,25
"Maaz_javaid","1329318",92,1,FALSE,13,0,7,4,0,0,0,0,1,0.033,149.51,16.44,149.51,52.8,0,50
"totallytony","1355078",71,4,FALSE,11,0,10,37,1,0,0,0,1,0.344,56.42,18.08,56.42,67.01,50,75
"Lost","1728158",100,3,FALSE,64,0,7,5,1,0,0,0,1,1.129,723.88,19.92,723.88,71.03,75,225
"Omanpx","1906686",82,4,FALSE,49,0,4,8,1,0,0,0,1,1.263,440,7.39,440,25.27,25,25
"Emrade","1943617",88,4,FALSE,50,0,6,5,1,0,0,0,1,0.017,487.27,15.27,487.27,52.56,25,0
"Ninivah","1950421",75,4,FALSE,49,0,7,10,1,0,0,0,1,1.81,506.55,17.32,506.55,49.25,125,0
"Meeepy","1952394",49,0,FALSE,59,0,14,9,0,0,7,2,1,2.887,627.5,27.44,627.5,103.06,100,25
"ihatedaycare","2011941",21,0,FALSE,7,0,16,8,0,0,0,0,0,3.994,46.55,30.78,46.55,108.91,50,50
"Hoban","2013446",75,2,FALSE,22,0,2,2,0,0,0,0,0,0.3,244.05,2.06,244.05,0,25,25
"gators87","2036952",100,3,FALSE,49,0,2,6,1,0,0,0,1,5.619,725.05,6.12,725.05,24.44,125,150
"zumdahl322","2080088",100,5,FALSE,49,0,1,8,0,0,0,0,0,0.383,542.85,4.08,542.85,16.32,25,100
"Dissection","2097235",81,4,FALSE,2,0,2,0,0,0,0,0,0,0.086,21.05,5.27,21.05,21.09,0,75
"MrCadwallader","2105213",95,3,FALSE,10,0,5,5,0,0,0,0,0,0.208,109.1,13.1,109.1,43.2,25,0
"entiti","2114316",94,3,FALSE,5,0,5,0,1,0,0,0,0,0.111,52.92,7.6,52.92,19.14,50,0
"sephorit","2160927",69,3,FALSE,15,0,6,3,1,0,0,0,1,0.919,179.18,15.01,179.18,47.15,50,100
"Long_Wang","2176597",94,4,FALSE,39,0,13,7,1,0,0,0,1,1.39,485.42,35.73,485.42,134.09,50,100
"KraytLord09","2215256",78,2,FALSE,6,0,7,6,1,0,0,0,1,0.033,74.75,15.55,74.75,53.2,75,50
"TwentyFour","2234860",24,3,FALSE,33,0,12,9,1,0,0,0,1,1.239,285.34,28.28,285.34,109.82,250,0
"Hobobillybob","2322515",55,4,FALSE,37,0,7,10,1,0,0,0,1,1.902,376.76,15.25,376.76,57.17,100,25
"BlewBerd","2326742",91,3,FALSE,3,0,0,2,0,0,0,0,0,0.184,32.36,0,32.36,0,25,0
"Lt_Fox","2378903",60,2,FALSE,48,0,6,4,1,0,0,0,1,1.545,389.93,7.34,389.93,23.72,100,25
"DiabolicPickles","2407528",100,2,TRUE,68,0,6,10,1,0,1,17,1,2.999,936.68,14.86,936.68,59.4,100,25
"sworn","2450447",65,4,FALSE,34,0,13,35,1,0,2,0,1,1.349,470.37,39.32,470.37,112.04,175,150
"Lucerys","2453309",90,3,TRUE,2,0,6,0,2,0,0,0,0,0.103,6.99,15.91,6.99,54.89,75,25
"OB1KenOB","2458976",65,5,FALSE,12,0,14,17,1,0,2,0,1,0.152,100.67,35.21,100.67,132.93,75,0
"Kamex","2460817",93,4,FALSE,37,0,8,12,0,0,0,0,0,0.033,384.77,20.78,384.77,78.74,175,0
"Unlucky","2472585",100,3,FALSE,24,0,1,11,1,0,0,0,0,0.641,267.97,0.91,267.97,0,50,0
"Flav","2499383",100,3,FALSE,39,0,4,13,1,0,0,0,1,0.251,462.38,10.11,462.38,31.46,0,25
"kiy77","2519820",77,2,FALSE,2,6,16,3,1,0,0,0,1,0.248,50.31,39.76,15.65,152.14,0,25
"Pampas","2586034",80,2,FALSE,42,0,6,10,1,0,2,0,1,3.625,515.95,14.92,515.95,53.36,200,25
"Thisismymain","2597690",64,5,FALSE,14,0,19,3,1,0,0,0,0,0.776,63.91,35.72,63.91,132.92,125,25
"Svenk","2612041",36,3,FALSE,6,2,7,2,1,0,0,0,1,0.035,17.96,10.42,14.59,34.01,25,100
"Xarhtna","2618403",99,5,FALSE,44,1,4,13,1,0,0,0,0,0.138,556.25,8.76,550.21,31.72,0,25
