uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
10003,Shady69,100,1718868169,89,Catalysis,299,374,206,337353,73,21,305,127,6,48,12371288960
1000524,-FB-Projectxrun,100,1718873303,16312,39th Street Killers X,518,1434,272,1306445,1,4,1000,480,75,90,4011156303
1001196,Saren_Arterius,100,1718874922,13851,Nuclear Therapy,606,875,228,942270,119,68,5,320,60,83,4123540900
1001325,BuGsY,100,1718864599,41768,Aces Elite,0,725,184,169568,0,5,0,20,19,82,4172573482
1003202,iky,75,1718876744,38634,Takut Bini Army of Light,397,751,213,126805,3,1,8,3050,17,73,2935755319
1004470,Blackdread,60,1718877654,39756,Abusement Park,18,400,245,219898,0,0,0,0,9,79,1527731235
1005145,Kamikaze-Rawr,100,1718848859,8938,Arcadia,29,324,230,131886,0,3,5,20,1,82,4233939511
100606,nitrogenous,80,1718849675,33007,HAKA,160,202,228,760883,5,13,142,500,0,87,2814170286
1007672,bobiii,100,1718877180,27312,SA  Equilibrium,38,259,218,215127,0,9,20,2387,85,82,10500925607
1007792,Streets,90,1718853035,49380,Crows,695,772,208,514644,2,7,4,743,8,69,1859054784
1009117,Forrest1980,100,1718849952,11747,Natural Selection II,37,87,181,162117,1,14,187,1984,0,84,4964002480
1009309,yawzaw,100,1718876291,16312,39th Street Killers X,35,284,220,268514,2,9,17,0,5,81,8125117939
1009539,kamas,100,1718872027,8336,Monarch HQ,184,473,222,522427,0,5,45,990,59,83,12085033252
1009654,stephenm,91,1718868632,8802,Ram Rajya,22,23,188,114046,0,6,0,225,0,76,3357259769
1009768,QueenRhi,47,1718871724,14768,RISE FROM RUIN,10,10,196,79986,0,126,13,0,0,82,471654861
1009778,AznAntony,100,1718873210,16282,Nuclear Winter,108,288,237,335116,14,21,119,238,29,77,6961655216
1009930,_T_,100,1718855923,28349,Dexter&#039;s Laboratory,272,574,194,563583,39,13,111,4929,73,79,8342585046
1010204,ZoNeD,69,1718877406,30009,White Rabbits,201,348,224,549284,10,10,77,805,53,82,1086923949
1010984,SaripD0L,99,1718866597,9055,Natural Selection IV,14,25,246,113662,2,4,0,1709,3,77,6161224440
1012262,Cineva,94,1718878162,18569,Romania Elite Kommando,152,332,239,427166,13,13,10,247,69,81,5439053546
1012783,charlie0768,81,1718876674,15929,The Inquisition,152,294,180,208047,12,24,7,1435,0,76,4641918633
1014257,Painkiller,100,1718874852,230,PT-Family,178,196,253,507867,4,154,263,1235,5,85,15940713636
1014409,Brad0812,92,1718856842,9032,Wolf Pack,103,256,239,459029,15,15,161,0,4,67,3989187929
1016246,Jeffronimo,71,1718859271,14768,RISE FROM RUIN,0,228,194,83026,0,0,8,1485,85,82,853313499
1016719,Utracia,90,1718848923,8938,Arcadia,2,310,187,89887,0,5,3,0,27,49,6955595106
