"faction","stat","name","level","total","side","activity","id","update","fid"
"-Aurora-","2.08b","Xekanirelle",99,2084121449,"Other",3.329,528114,1716757600.69671,32395
"-Aurora-","2.11b","BanzaiBetty",95,2106072713,"Other",1.111,528397,1718442382.106,32395
"-Aurora-","60.85m","nikito",64,60850245,"Other",0.207,606570,1716325591.7635,32395
"-Aurora-","221.61m","yogesh07",68,221614095,"Other",0.157,757735,1717664789.64243,32395
"-Aurora-","510.04m","LukeStoneHm",70,510041839,"Other",0.474,1090418,1717103221.09932,32395
"-Aurora-","9.27b","Matsumushi",100,9266042182,"Other",0.11,1267495,1717751225.31149,32395
"-Aurora-","26.51m","The_Dude",47,26513766,"Other",1.411,1622855,1718744807.10811,32395
"-Aurora-","90.33m","nukeplanet",46,90327279,"Other",0.294,1723288,1718528780.64238,32395
"-Aurora-","291.49m","ik1lledsanta",5,291488097,"Other",0.49,1784812,1718442382.106,32395
"-Aurora-","119.42m","Tokist",82,119423739,"Other",0.242,1862159,1716757600.69671,32395
"-Aurora-","1.51b","Mr_Monst",75,1508832559,"Other",0.814,1865191,1716325591.7635,32395
"-Aurora-","393.12m","redshadowmm",92,393123693,"Other",0.629,1906801,1718442382.106,32395
"-Aurora-","566.11k","sansea",26,566111,"Other",0.622,1932981,1718442382.106,32395
"-Aurora-","3.31b","-Grey-Worm-",100,3312067648,"Other",0.301,2004851,1716627989.10529,32395
"-Aurora-","1.23b","Cyfer",95,1233614106,"Other",0.474,2062693,1718442382.106,32395
"-Aurora-","649.45k","Baustin120",33,649449,"Other",1.772,2110637,1718615186.31814,32395
"-Aurora-","2.27b","Malevolent",93,2267443883,"Other",0.37,2124157,1718744807.10811,32395
"-Aurora-","13.2m","SirWicked",65,13202455,"Other",0.534,2200817,1718744807.10811,32395
"-Aurora-","2.12b","Ubernator",82,2121316295,"Other",0.45,2211340,1716973652.66914,32395
"-Aurora-","436.42m","Xander_Templar",30,436421489,"Other",0.414,2223962,1718442382.106,32395
"-Aurora-","315.67k","BeardedKnight",21,315667,"Other",0.648,2235364,1718010465.83339,32395
"-Aurora-","2.56b","Brayden407",92,2560767318,"Other",1.021,2256379,1717362412.99191,32395
"-Aurora-","692.64m","BeerPongChamp",82,692643834,"Other",0.271,2258906,1718442382.106,32395
