name,player_id,then,now,diff
ShadowZone,1081517,949,1149,200
InFlatIon,1921241,2692,2977,285
realistassasin,1598729,2631,2748,117
Blaze,1591396,2309,2454,145
mug,553318,329,506,177
Hopslam,795412,326,426,100
CrazedOne,1915023,622,623,1
Data,1610898,402,416,14
Slork,204836,597,597,0
Untouchable,1360035,313,424,111
MJ_Cookie,271665,328,328,0
madbuns,1811936,353,365,12
skmoonlight,2619860,278,348,70
Kookaburra,748022,830,832,2
MightyGoober,812478,332,332,0
oraN,1778676,416,416,0
Penicillin,1517799,2998,2998,0
Td3h,1785428,1097,1097,0
Einstein,40876,322,326,4
Dutch,471188,663,741,78
Zachjuv,2015134,1342,1413,71
decap101,1867608,315,315,0
DeaLeR,375042,1165,1165,0
Vernunzio,730674,2825,3146,321
Michelle-420-,732810,342,355,13
itay,427959,867,1101,234
rapid_riser,262223,853,853,0
easye,23315,264,344,80
Aeroroot,390615,433,448,15
Para,1455847,849,1063,214
paddybhoy1,1476472,367,367,0
Trucker_Liam,1608058,495,499,4
bink,361750,447,491,44
shaz1,270923,3929,3995,66
D3vl,710249,1069,1086,17
TongLung,30264,390,392,2
lonewolf,302973,1044,1047,3
ChristmasBazaar,1352251,542,563,21
LTJELLOMAN,1161626,443,452,9
Pops,1025410,2091,2300,209
Leaf_Bikini,351290,507,507,0
OSA,2033210,1210,1212,2
loveu2,1716970,234,304,70
Oh_Dae,927477,385,390,5
BigDooD,2203276,353,353,0
Akenomics,2760106,532,838,306
Mansur,473700,477,489,12
Batman,984129,568,570,2
Tim,179208,769,943,174
Manchineel,944731,347,449,102
NaX,31567,306,321,15
Loud_Pak,496545,504,506,2
StDolphineLeita,1579225,584,601,17
Digital,502359,703,703,0
Beertogo,602901,318,370,52
Rowdy_Rebel357,1955477,1227,1276,49
Acepac,190060,322,325,3
DrGonzo,59922,1389,1423,34
Green,2105509,318,383,65
Euphoria,1443076,839,937,98
Westend,107444,560,571,11
Oya,2142206,782,952,170
Asgar,210613,1028,1028,0
Midknight,332505,529,572,43
Z_junior,247674,2399,2399,0
Todd,63384,891,896,5
Tascon,209070,558,580,22
Proxima,1879587,1352,1411,59
ScrappyD00,2735219,303,313,10
HT-Supermikk,108922,1081,1106,25
L4suicide,15699,627,627,0
MaxManus,834584,479,488,9
Toorg,1966160,533,569,36
Nath,983221,367,374,7
Defectus,2549859,317,317,0
Tezwar,1034523,1566,1673,107
MimeFaceKiller,1518389,303,310,7
Moguai,423015,340,348,8
Bullzeye,922212,264,389,125
SexxySweety,671797,405,438,33
Vayne,1476986,399,404,5
VitaGreta,1867016,408,436,28
CHunger,78403,328,328,0
deft,979003,3294,3594,300
Alexstrasza,1825532,2093,2113,20
RGiskard,1953860,3558,3713,155
alguem,60666,1071,1071,0
_SCOFIELD_,1441750,1059,1156,97
weebl,172806,369,369,0
Sky,380980,774,774,0
KingLion,1477459,495,501,6
BodyBagger,99177,5247,5255,8
TuvCai,2835313,428,733,305
xanty,1169571,3469,3792,323
Green_Revolver,1583290,533,536,3
Skjold,2442882,888,1183,295
DamonsDemon,1468841,345,367,22
Rocmann,1793493,392,400,8
Hydr0,304168,768,770,2
Ara,2094582,446,446,0
MagicDust,1643018,997,1000,3
Khawasi,1607981,747,770,23
MbA0069,235143,748,764,16
_______,2802993,1099,1214,115
Markland,1385260,264,331,67
CaptBritain,1670630,341,353,12
Drieke,1307523,771,771,0
Afwas,1337627,485,485,0
CindyFury,345050,639,639,0
Beer_Bear,42111,1278,1278,0
jjinn,2042332,577,577,0
Champion,1927067,552,553,1
JimmyJames,581165,344,344,0
Al1m_121,2081928,865,882,17
takashi,2491991,445,445,0
