Name,UID,Level,Faction,FID,State,Until,Friends,Enemies,Karma,ForumPosts,Details,Description,Date,Observed,Networth,Played,Stats
----_,4160367,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
---Emergency---,3969159,1,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,48327,360,26
--AL--,4380445,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,245103,6120,26
--Goodfather--,3872218,1,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,26
--Maria--,4203749,8,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,13122352,22713,1358
-000,4216619,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
-0Zer0-,4375227,1,None,0,Federal,1875916800,0,0,1,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1293986,3389,1730
-97-AgentVenom,4496837,5,None,0,Federal,1875916800,1,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,66112822,30543,167
-Agent47,3701047,15,None,0,Federal,1875916800,1,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1317722,346008,10862
-Agnes,4191768,9,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,6756211,30832,2047
-Alexandria-,4044014,3,None,0,Federal,1875916800,0,0,0,3,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,120,26
-Allah-,4369984,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,135060,5191,4794
-arthur_,4324039,4,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,49609,10263,166
-art_01,4328159,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,32893,3967,79
-art_o,4330447,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,6009060,5519,26
-Asphyxia,2966618,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,2310,120,26
-AtomicX-,4192850,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,717308,13867,642
-bank-,3740714,2,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,114219,6015,144
-Beef,4329732,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,44164,1065,125
-Bloodseeker-,4307863,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,352775,2928,26
-Bofadeez-,2877724,11,None,0,Federal,1875916800,0,3,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,117740173,53131,30081
-Castus-,4248377,6,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,358401,15862,26
-Chicken-,3160989,60,D&#39; Nuke Activator,8904,Federal,1790899200,5,7,0,2,Multiple Accounts,In federal jail for 15 days,2026-09-17,1789632024,1120835157,2176800,9353617
-CHROLLO-,3982102,6,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,20720980,8313,323
-coventry-city-,1876291,1,None,0,Federal,1875916800,0,2,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,54194,0,766
-Dagestan-,3864904,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,766
-DEVL,3670975,20,None,0,Federal,1875916800,6,0,7,11,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,4951176,817551,53238
-Dunn,3744258,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
-Eien-,4452550,10,None,0,Federal,1875916800,0,0,0,9,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,19557266,69106,8871
-EOG-,4194827,4,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,623020,5229,28
-Error-404,3969187,3,None,0,Federal,1875916800,3,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,481830,1140,38
