name,sector,size,density,slots,daily_respect,coordinate_x,coordinate_y,alliance,faction,fname,members,rank
AAB,4,2,2,8,66,1260.67,2452.69,NA,0,,,
AAC,6,4,2,28,66,5480.74,663.71,NA,48077,Champagne Killers,10,Gold
AAD,2,3,2,17,101,4179.33,1650.67,Crypto,16312,39th Street Killers X,98,Diamond
AAE,3,4,2,27,105,4513.32,1474.34,NA,0,,,
AAF,7,5,1,29,30,6206.15,176.39,NA,13343,The Defiant,33,Platinum
AAG,4,3,2,15,79,4728.33,2964.5,NA,0,,,
ABA,5,4,2,25,79,1846,704.67,NA,23193,Materia,54,Gold
ABB,7,3,1,18,23,287.25,1446.25,JFK,0,,,
ABC,5,3,2,14,68,2179,683.67,NA,0,,,
ABD,7,3,2,13,45,5989,1693.33,NA,26043,War Crimes,19,Platinum
ABE,4,5,2,30,105,4714.78,1798.93,Crypto,0,,,
ABF,7,3,1,22,23,226.75,1305.57,NA,0,,,
ACA,4,2,2,11,66,1507,814.33,NA,0,,,
ACB,7,3,1,16,23,232.33,1544.67,Westworld,7093,Halos,55,Silver
ACC,5,2,2,8,56,4065.67,746,NA,0,,,
ACD,5,4,2,26,79,5063,1773,NA,0,,,
ACE,4,3,2,16,79,1484.89,1437.85,Westworld,30009,White Rabbits,97,Platinum
ACF,4,3,2,13,79,1244.44,2048.91,NA,0,,,
ACG,5,4,2,25,79,1495,762,Westworld,8062,Ruthless Reborn,82,Platinum
ADA,6,2,2,8,47,649,1178,NA,0,,,
ADB,6,3,1,11,28,524.92,1645.62,NA,48912,BLOODLINE,99,Bronze
ADC,4,2,2,10,66,3897.33,801.33,NA,25001,The Red Knights,96,Platinum
ADD,6,3,1,20,28,717,1781.7,Westworld,0,,,
ADE,6,3,2,20,56,5622.93,1374.75,NA,16443,Undead Covenant,61,Platinum
ADF,1,4,2,26,131,3836.68,2170.41,NA,8706,Carbon,97,Diamond
ADG,4,3,2,19,79,1279.59,1000.25,NA,36457,Warband of the Fallen,48,Gold
AEA,5,2,2,10,56,1098.33,2062.33,NA,8468,Bloodbath and Beyond,93,Diamond
AEB,4,3,2,15,79,1373.25,2347.13,NA,0,,,
AEC,4,3,2,14,79,3818.76,836.33,NA,12255,Imperial MediHaven,82,Bronze
AED,5,3,2,17,68,5188.8,1916.3,Crypto,9305,Legitimate Business,93,Platinum
AEE,5,3,2,24,68,913.5,1821.49,Westworld,0,,,
AEF,2,4,2,28,118,2793.83,1594.97,NA,16282,Nuclear Winter,99,Diamond
AFA,6,3,2,12,56,692.95,2282,NA,8954,Nuclear Armageddon,95,Diamond
AFB,4,3,2,17,79,1292.75,2078.42,NA,8468,Bloodbath and Beyond,93,Diamond
AFC,4,3,2,12,79,4147,877,Crypto,0,,,
AFD,3,3,3,14,135,1601.67,1895.67,NA,39756,Abusement Park,98,Platinum
AFE,1,3,2,14,113,2406.42,1929.08,NA,0,,,
AFF,1,4,1,29,66,3374.5,2028.78,Crypto,0,,,
AFG,7,3,1,21,23,3780.13,147.51,NA,0,,,
AGA,4,1,2,5,53,1405.33,2517.11,NA,0,,,
AGB,3,3,2,24,90,1740.41,2677.33,NA,36891,FLATLINE,88,Platinum
AGC,4,4,2,25,92,3909,964.67,NA,0,,,
AGD,1,2,2,6,94,3767,1934,NA,0,,,
AGE,3,2,2,9,75,1866.75,1271.67,NA,31764,39th Street Warriors,99,Platinum
AGF,7,3,2,19,45,284.29,950.08,Westworld,0,,,
AGG,7,3,2,13,45,3257.25,136.73,NA,525,Ministry of Mayhem,90,Platinum
AHA,6,3,2,14,56,609.47,2730.03,Westworld,0,,,
AHB,3,3,2,16,90,1766.44,2219.08,NA,0,,,
AHC,3,5,2,30,120,2472.16,1127.33,Westworld,19,39th Street Killers,91,Diamond
AHD,5,3,2,18,68,5332.15,2041.23,Crypto,0,,,
AHE,4,3,2,14,79,1535,2311.98,NA,20465,SMTH - Phoenix Nirvana,100,Diamond
AHF,7,4,1,25,26,346.67,1040.33,Westworld,8536,White Walkers,23,Bronze
AIA,3,3,2,17,90,1730,2978.67,Westworld,26437,The Prowl,76,Platinum
AIB,3,3,2,20,90,1852.11,2077.67,NA,0,,,
AIC,5,4,2,27,79,5070,1029.33,NA,37185,Catch 22,83,Gold
AID,3,3,1,15,45,1927,2081.33,NA,0,,,
AIE,3,2,2,6,75,1745.65,2003.58,NA,0,,,
AIF,5,3,2,23,68,920.83,884.33,NA,36691,Rabid Chihuahuas,70,Bronze
AJA,7,2,2,10,38,142.92,2845.1,NA,30584,Disorderly Conduct,28,Platinum
AJB,5,2,2,6,56,2079.23,778.92,NA,8076,Order Through Chaos,93,Diamond
AJC,3,3,2,21,90,4166.33,1078.33,Crypto,0,,,
AJD,2,2,2,10,84,2113,2148.67,NA,7835,Monarch Mutation,92,Diamond
AJE,2,3,2,19,101,2015.58,2260.58,NA,8336,Monarch HQ,98,Diamond
AJF,4,3,1,22,39,4021.4,1033.95,NA,0,,,
AKA,7,3,1,20,23,23.73,2391.33,NA,0,,,
AKB,6,3,2,16,56,594.42,2604.18,NA,44445,Combat Ready HQ,40,Gold
AKC,6,3,2,11,56,5577,1106.95,NA,0,,,
AKD,3,2,2,11,75,4282.67,2236.21,Crypto,0,,,
AKE,3,4,2,24,105,4346.25,1619.96,NA,6731,The Next Level,95,Diamond
AKF,7,3,2,19,45,94.81,2764.67,NA,0,,,
ALA,7,3,1,20,23,258.53,2429.44,NA,0,,,
ALB,6,2,2,8,47,673.64,3059.08,NA,0,,,
ALC,6,3,2,11,56,5610.33,1082,NA,16053,Asylum 2.0,45,Platinum
ALD,3,3,2,21,90,4431.78,2366.5,NA,0,,,
ALE,5,3,2,11,68,3110.19,614.42,NA,0,,,
ALF,6,2,3,10,70,768.67,2668.58,Westworld,17133,Torn Medical,95,Silver
AMA,7,1,1,5,15,226.17,1818.25,NA,8677,Mana,35,Platinum
AMB,6,3,2,18,56,415.63,3155.84,Westworld,0,,,
AMC,3,2,2,10,75,1692,1168.67,NA,26885,NPO - Valour,96,Bronze
AMD,1,3,1,14,56,3835.35,2414.33,Crypto,46666,Fluffy Kittens Inc.,42,Platinum
AME,2,4,2,24,118,3323.89,1351.3,Crypto,0,,,
AMF,4,4,2,25,92,1423.92,2571.75,NA,10818,Lex Wolverines,88,Platinum
ANB,7,3,1,17,23,44.87,2134.16,NA,11131,Infernum-,64,Gold
ANC,4,3,2,13,79,1228.45,3095,NA,0,,,
AND,6,2,2,10,47,5613.39,1205.67,NA,0,,,
ANE,7,3,1,24,23,3016.86,249.96,Westworld,6924,JFR,92,Unranked
ANF,7,4,1,28,26,4828.92,55.92,NA,20747,Damage Inc,77,Diamond
ANG,4,3,2,21,79,1565.54,3047.9,Westworld,0,,,
AOB,7,3,2,15,45,241.76,2902.25,Westworld,0,,,
AOC,5,3,1,19,34,1058.36,3171.81,NA,0,,,
AOD,4,3,2,16,79,4885.33,1232.67,NA,0,,,
AOE,7,3,1,12,23,5938.21,1580.21,NA,0,,,
AOF,6,1,2,5,38,2576.44,461.71,NA,14365,JFK 2.1,100,Diamond
AOG,5,3,2,13,68,5354.44,585.78,NA,0,,,
APB,6,3,2,12,56,419.08,2631.85,Westworld,0,,,
APC,4,3,2,24,79,1481,2951.01,NA,16335,SMTH - November Chopin,97,Diamond
APD,7,5,2,30,60,6037.72,1470.17,NA,46708,The Revenant,95,Gold
APE,5,2,2,9,56,2006.5,550.5,NA,0,,,
APF,1,4,1,28,66,2902.98,2703.46,NS,0,,,
APG,6,3,2,22,56,420.5,2369.66,NA,8322,The Project Syndicate,99,Unranked
AQB,6,3,2,12,56,756.92,2876.5,NA,9745,Emergency Room,84,Gold
