uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
10003,Shady69,100,1718868169,89,Catalysis,1307,21626,6053,22023458,1110,1073,12275,24436,738,1815,12371288960
1000524,-FB-Projectxrun,100,1718873303,16312,39th Street Killers X,1052,9199,3405,8482246,99,286,3205,17157,652,966,4011156303
1001196,Saren_Arterius,100,1718874922,13851,Nuclear Therapy,2887,25044,3114,14357222,468,1661,1184,23389,1014,1698,4123540900
1001325,BuGsY,100,1718864599,41768,Aces Elite,703,13226,3957,5238733,180,137,69,3601,223,1406,4172573482
1003202,iky,75,1718876744,38634,Takut Bini Army of Light,1449,8086,3457,5154968,7,263,220,10915,498,631,2935755319
1004470,Blackdread,60,1718877654,39756,Abusement Park,301,3837,1723,2752123,0,35,18,0,194,566,1527731235
1005145,Kamikaze-Rawr,100,1718848859,8938,Arcadia,512,9155,4614,6602391,109,87,272,1530,268,615,4233939511
100606,nitrogenous,80,1718849675,33007,HAKA,343,3055,1063,3461295,16,658,249,500,108,900,2814170286
1007672,bobiii,100,1718877180,27312,SA  Equilibrium,171,10335,9909,8030662,163,255,287,36494,871,3951,10500925607
1007792,Streets,90,1718853035,49380,Crows,2780,6872,2372,7287033,46,210,1176,7856,280,877,1859054784
1009117,Forrest1980,100,1718849952,11747,Natural Selection II,456,7943,3815,4136338,80,372,4046,24364,406,2001,4964002480
1009309,yawzaw,100,1718876291,16312,39th Street Killers X,848,13460,7343,16101348,90,160,354,0,237,2758,8125117939
1009539,kamas,100,1718872027,8336,Monarch HQ,854,24543,9734,22880889,138,77,4000,55874,2015,3731,12085033252
1009654,stephenm,91,1718868632,8802,Ram Rajya,510,3689,3241,1922501,32,308,172,6956,269,1434,3357259769
1009768,QueenRhi,47,1718871724,14768,RISE FROM RUIN,11,623,1103,1123903,0,296,17,0,11,619,471654861
1009778,AznAntony,100,1718873210,16282,Nuclear Winter,1107,17455,6167,8932625,628,559,2241,26523,940,1967,6961655216
1009930,_T_,100,1718855923,28349,Dexter&#039;s Laboratory,596,17076,6602,18386395,73,1006,1246,19483,980,3403,8342585046
1010204,ZoNeD,69,1718877406,30009,White Rabbits,494,3335,1524,4657905,31,32,275,1877,525,633,1086923949
1010984,SaripD0L,99,1718866597,9055,Natural Selection IV,411,7789,5474,4700565,135,15,70,28433,402,1338,6161224440
1012262,Cineva,94,1718878162,18569,Romania Elite Kommando,695,3586,5384,3376756,45,53,66,270,278,1358,5439053546
1012783,charlie0768,81,1718876674,15929,The Inquisition,784,7786,2288,4599388,217,1202,222,23308,149,1403,4641918633
1014257,Painkiller,100,1718874852,230,PT-Family,1367,20176,13228,21195021,431,904,4451,32974,760,5131,15940713636
1014409,Brad0812,92,1718856842,9032,Wolf Pack,621,7421,2922,19623120,101,324,765,11568,130,899,3989187929
1016246,Jeffronimo,71,1718859271,14768,RISE FROM RUIN,35,3631,932,1549098,0,0,25,4833,578,532,853313499
1016719,Utracia,90,1718848923,8938,Arcadia,277,10853,6455,5111746,59,266,189,555,432,1717,6955595106
1017334,bluetorpedo,100,1718874517,16312,39th Street Killers X,640,13849,6537,12915020,36,172,2256,31790,605,3029,8216767878
1019014,Saba,97,1718876094,16312,39th Street Killers X,567,8677,2972,9197748,37,217,1537,2267,247,1254,2965149577
1019019,Jrod,100,1718851253,2736,Itsi Bitsi Bikini,102,14509,5390,6834275,50,269,2146,18678,162,2352,7489598572
1019193,Lunamaria,100,1718870209,10174,AQUA-Poseidon,460,27208,8277,16126455,583,104,3823,15204,2472,2749,9533238176
1021188,FunkyCrunchy,50,1718868620,7115,Republic Of Futuria,109,2645,303,1496773,0,21,7,0,44,619,301456922
1021253,TriGuem,100,1718852625,11747,Natural Selection II,941,22773,5213,40737829,678,610,3579,63074,1023,2404,6849528121
1021341,BooBees,91,1718877648,35507,The Nest,1617,7464,2312,8005729,55,219,846,33847,597,1156,2282513766
1022533,Luzbelito-,100,1718862896,27312,SA  Equilibrium,149,7837,4804,8021899,52,88,3246,31643,625,3491,8069731335
1022655,Zziox,94,1718877496,41702,39th Street Warriors,2586,17986,8422,18374952,543,780,1839,34097,348,2831,10154500805
1023364,The1nonlyK,85,1718869113,50613,BRC   Supreme,3353,5875,974,4346869,20,123,301,9858,371,392,541373786
102430,Pompey123,95,1718871287,8336,Monarch HQ,1675,6437,3433,3923508,58,141,4370,0,129,1390,4221603072
1025410,Pops,100,1718877451,10174,AQUA-Poseidon,3990,59585,8534,63215330,3068,2411,15378,101771,2495,3120,1.000008e+15
1026373,MY_NAME_IS_TORN,90,1718877484,9032,Wolf Pack,99,21593,10810,21975157,12,452,1072,1609,1027,4291,13494933833
1027599,UberMorlock,100,1718874725,2013,Subversive  Alliance,377,20860,12050,21117625,108,832,5585,90079,2694,4820,15397874360
1028410,prowguy,91,1718868817,13665,PT-Penguins,525,5494,2723,4515376,5,17,173,5131,370,1348,2553327000
1028538,xFreya,71,1718874064,9745,Emergency Room,406,2915,949,1996684,7,67,163,4097,269,736,245059253
1029035,Wasted,52,1718877727,24218,HYPE,527,1380,450,2782196,52,175,81,3144,92,179,81696272
1030698,Graphite,100,1718866572,9533,Natural Selection,526,16474,8858,32193745,67,700,4983,40255,1358,3333,11682909378
1030826,Will_i_am,100,1718873587,10820,Lithium,109,18664,6649,7945957,23,97,1240,300,374,3634,7466597572
1032325,iambob2,16,1718875182,25001,The Red Knights,866,11403,5827,16676971,377,369,1372,14920,811,2257,8270693108
1032943,MemoryLane,88,1718865137,44040,Galactic Arcade,1014,7329,2906,6973279,262,240,415,8833,305,1269,3132794351
1033165,TheLeperKing,72,1718878163,29107,I.H.Q.,1239,5731,981,5280396,139,185,833,3109,152,578,242286444
1033363,muszelious,75,1718858247,10566,The Rifle Company,974,10564,2574,6881621,15,237,823,83232,1239,825,1536906360
1034083,Julle,100,1718869814,16628,Chain Reaction,1716,24891,8321,17573376,83,449,2331,60314,2384,3529,10485723920
1036235,SuperDuperPoor,100,1718859887,16312,39th Street Killers X,380,19317,7829,22223824,212,289,2610,14245,593,3640,11469997083
1036641,SevenDeadlySins,100,1718868539,8336,Monarch HQ,1166,17245,5458,27613035,142,153,839,5171,213,2382,6270129116
1039527,Wolfman,100,1718874026,8400,Lingering Insanity,1572,35129,6011,36633906,305,2709,15396,10892,841,4101,10245203135
1041309,TheCookieMan,91,1718874506,25025,DP Warriors,1490,5012,2415,1265597,8,56,402,150,23,867,1712750667
1043377,Dyno,100,1718877298,8500,Extinction,911,37816,7537,47622619,922,1183,1833,39689,918,3506,9275795342
1043426,ColdDeadFingers,100,1718872626,9533,Natural Selection,1145,28128,11182,35267500,251,568,1214,24716,1210,4620,13495648020
