fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
51524,52944,Knights United,0,0,TheCollective,0,0,1737046800,0,0,2025_3
50900,52843,Bloodbound Covenant,0,0,Pickle Party,0,0,1737136800,0,0,2025_3
48077,50494,Champagne Killers,0,0,The Frogs,0,0,1737223200,0,0,2025_3
49247,50315,NF Outlaws,0,0,Bloodlust,0,0,1737230400,0,0,2025_3
51839,52872,The Crims,0,0,Project Paradise 2.0,0,0,1737046800,0,0,2025_3
50230,51716,The Panturas,0,0,Develop (Hiring),0,0,1737122400,0,0,2025_3
50517,50601,I.D.F.,0,1,Gozerian,0,0,1737219600,0,0,2025_3
51053,51067,Ile Ogun,0,0,The Crimson Blade,0,0,1737219600,0,0,2025_3
50808,52484,Solo Leveling,0,0,Family First,0,0,1737046800,0,0,2025_3
50946,52748,GERMAN TROUT SLAPPERS,0,0,The Coiled Order,0,0,1737234000,0,0,2025_3
52363,52801,T.R.A.C.E.Y,0,0,Demon corp,0,0,1737237600,0,0,2025_3
41702,44404,Rogue Warriors,0,0,PA Wet Dream,0,1,1737136800,0,0,2025_3
50424,53160,Ethereal Blade,0,0,BJSFTW,0,0,1737050400,0,0,2025_3
50642,52228,The Milkers,0,0,The Flying Dutchman,0,0,1737158400,0,0,2025_3
50241,52817,Bucket o' Blood,0,0,SAVAGE-MEDIC,0,0,1737140400,0,0,2025_3
51179,53126,Phoenix Federation,0,0,THE GRITS,0,0,1737208800,0,0,2025_3
34623,42741,Viking Emus,0,0,Black  Lotus  Society,0,0,1737050400,0,0,2025_3
51601,52192,Phoenix uprising,0,0,Hound&#039;s of Iron,0,0,1737136800,0,0,2025_3
50609,51566,Phoenix Elysium,0,0,Bacon INC,0,26,1737216000,0,0,2025_3
47725,49695,SkilledAssassinsRepublic,0,0,The Shogunate Spy,0,0,1737061200,0,0,2025_3
21665,22781,Monarch Army of Light,0,0,The Wolverines,0,1,1737126000,0,0,2025_3
49707,50433,T&#039;c outkasts,0,0,Golden Dawn Mafia,0,0,1737061200,0,0,2025_3
51122,52387,Kagu-tsuchi clan,0,0,The Sons Of Anarchy,0,0,1737140400,0,0,2025_3
51420,52983,Mission impossible,0,0,House of Shadow Slayer,0,0,1737043200,0,0,2025_3
46127,51145,Cyber Warfare,0,0,Legion of Harbingers,0,0,1737133200,0,0,2025_3
48635,49776,Til Valhalla,0,0,Port Royal,0,0,1737230400,0,0,2025_3
50743,52987,Noble Chocolate Winter,0,0,A team,0,0,1737230400,0,0,2025_3
14441,47911,Monarch Mavericks,0,0,Clammy&#039;s Atlantis Medical,0,0,1737046800,0,0,2025_3
28073,32395,Shiny Hoard Avian Team,0,0,-Aurora-,0,0,1737151200,0,0,2025_3
366,8938,Evolution,0,0,Arcadia,0,0,1737050400,0,0,2025_3
46022,48093,Chrondawgs,0,0,UNDERWORLD,0,0,1737108000,0,0,2025_3
52209,53164,Monark HQ,0,0,Deities of Darkness,0,0,1736985600,0,0,2025_3
50528,52212,shell farm,0,0,Cheesers,0,0,1737140400,0,0,2025_3
36660,37595,Premature Attackulation,0,0,Firequackers,0,0,1737064800,0,0,2025_3
3241,13665,JFK,0,0,PT-Penguins,0,0,1737129600,0,0,2025_3
8867,12893,Monarch Chrysalis,0,0,Darkline,0,3,1737061200,0,0,2025_3
14078,15222,~Twisted~,0,0,Dark X,0,2,1737154800,0,0,2025_3
50516,52835,Blackjack and Hookers,0,0,Assbeater Bozos,0,0,1737064800,0,0,2025_3
51606,52834,Attic View,0,0,Mullet Mafia,0,0,1737136800,0,0,2025_3
16312,18736,39th Street Killers X,0,0,Monarch Research,0,1,1737043200,0,0,2025_3
49167,49319,RHINO&#039;S CARTEL-BRC,0,0,SCHIZOPHRENIACS,0,0,1737144000,0,0,2025_3
49477,50867,The Bear,0,0,Shadow Ghost,0,0,1737039600,0,0,2025_3
