fac1,fac2,fac1_name,fac2_name,wstart,wid,week
52267,52756,Hippy War Commune,NO F0CKS GIVEN,1740182400,22539,2025_8
20514,36134,DropBears,SMTH - Silver Hand,1740063600,22538,2025_8
40664,50350,Lucifer&#8217;s Saints,Mayans,1740182400,22537,2025_8
43226,52815,The Risen,Space Sweepers,1740214800,22536,2025_8
49585,50490,Ghost Vipers,Heathen Saints,1740258000,22535,2025_8
366,11796,Evolution,SMTH - Bright Summit,1740146400,22534,2025_8
52063,52240,Torn City Cartel,Th3 illuminati 2.0,1740013200,22533,2025_8
14821,22295,JFK - Future Killers,Aquarius,1740160800,22532,2025_8
48650,49636,300,New Beginning,1740056400,22531,2025_8
3241,9100,JFK,The Black Hand,1740240000,22530,2025_8
11162,37595,InQuest,Firequackers,1740139200,22529,2025_8
51668,53280,Med-Evil Money 6,Cache Gamblers,1740070800,22528,2025_8
46022,51803,Chrondawgs,Psychos on Vicos,1740261600,22527,2025_8
50274,50900,Forbidden Realm,Bloodbound Covenant,1740160800,22526,2025_8
16053,37132,Asylum 2.0,Morte Subita,1740258000,22525,2025_8
51192,52145,HALLOWED HITTERS,Ebon Radiance,1740254400,22524,2025_8
39781,47515,Zenith Rising,Project at Eden&#039;s Gate,1740243600,22523,2025_8
40692,47710,Kingdom of Asgard,PT-GuemLand,1740258000,22522,2025_8
43836,45415,LaFamilia,PT-SunnyVale,1740081600,22521,2025_8
11782,49903,Midnight Judgement,Cheesecake Factory,1740182400,22520,2025_8
13421,37530,Wild Guardians,Crossfire,1740261600,22519,2025_8
29107,46978,Hello High,PT-Slinkys,1740171600,22518,2025_8
16381,50230,REAPER GANG,The Panturas,1740056400,22517,2025_8
41234,48184,Peaky CS,Soulless Mafia,1740258000,22516,2025_8
53218,53313,Twisted Saints,*$KiNG-PiN$*,1740153600,22515,2025_8
48965,49994,Brotherhood of Butchers,The Plague Doctors,1740078000,22514,2025_8
14078,22492,~Twisted~,Dystopia,1740243600,22513,2025_8
15256,50517,Defenestration,Attack Mode,1740150000,22512,2025_8
11559,13842,The Masters,Brazilian Unit,1740243600,22511,2025_8
8836,16312,Vinerri,39th Street Killers X,1740261600,22510,2025_8
9036,26312,The Black Pearl,JFK - Misfits,1740261600,22509,2025_8
6557,52917,Stepping Stones,The Shadow Kingdom,1740056400,22508,2025_8
51089,52032,Brotherhood of the Glade,War Criminals,1740146400,22507,2025_8
51200,52929,The Bottomless Pit,TRYHARD,1740067200,22506,2025_8
51072,52857,Whit FC,Marisalings,1740168000,22505,2025_8
44811,51628,Order of Diverse Events,Wolfe Corp.,1740042000,22504,2025_8
51430,52693,THE  COUNCIL,JCL Base 1,1740175200,22503,2025_8
7835,36891,Monarch Mutation,FLATLINE,1740232800,22502,2025_8
50951,51606,The Gambino Family,Attic View,1740261600,22501,2025_8
50625,52248,Creature,JCL HQ,1740063600,22500,2025_8
50177,53207,Kame House,LLLL,1740254400,22499,2025_8
50271,50478,Warhounds,TEAM SESH,1740168000,22498,2025_8
