fac1,fac2,fac1_name,fac2_name,wstart,wid,week
51697,52542,Nine Hells of Baator,House Of War,1746903600,25432,2025_19
40039,41620,Black &amp; White,Wargasm Revival Medicare,1746889200,25431,2025_19
9405,40380,Voidbringers,Seshlehem,1746723600,25430,2025_19
26312,28073,JFK - Misfits,Shiny Hoard Avian Team,1746903600,25429,2025_19
42055,44746,Dead Fragment,Chromatic Sloths,1746806400,25428,2025_19
52662,53683,The Carmine Coven,Concrete Soldiers,1746900000,25427,2025_19
52248,53847,JCL HQ,The Black Box,1746705600,25426,2025_19
8989,15446,JUX HQ,Druggies in Snuggies,1746802800,25425,2025_19
49609,52653,Steel team,Money for life,1746838800,25424,2025_19
2013,13784,Subversive  Alliance,WarBirds,1746892800,25423,2025_19
21526,33241,NS Bomb Shelter,Nub Navy,1746716400,25422,2025_19
46805,48680,Hummingbirds,BlackWatch,1746820800,25421,2025_19
24218,49967,War INC,Sandline,1746889200,25420,2025_19
231,6731,Destructive Anomaly,The Next Level,1746727200,25419,2025_19
53554,53877,NorSouth Quiet Pills Inc.,Nightingale Warriors,1746900000,25418,2025_19
50888,51973,Owain&#039;s Rebels,Les Miserables,1746795600,25417,2025_19
14365,16628,JFK 2.1,Chain Reaction,1746727200,25416,2025_19
53430,53863,Obliteration squad,Dominus Astra,1746896400,25415,2025_19
9533,11581,Natural Selection,Natural Selection III,1746799200,25414,2025_19
13726,48077,Not a Cache Farm,Champagne Killers,1746885600,25413,2025_19
14581,25001,Happy Vegemites,The Red Knights,1746896400,25412,2025_19
8606,42872,Jeepers Creepers,Ares Kratos,1746716400,25411,2025_19
45421,53428,Ricefields of Neverland,dumb,1746853200,25410,2025_19
52234,53403,Hell&#039;s Reapers,Anti Social Social Club,1746907200,25409,2025_19
52015,52324,Oreo Cheesecake,MostWanted,1746820800,25408,2025_19
7746,47838,C.R.H,Fallout Shelter,1746734400,25407,2025_19
50440,50844,The Desert Rats.,{WARS} - Bloodbath,1746802800,25406,2025_19
53558,53800,ShadowWarriors,ROSS DIVISION,1746907200,25405,2025_19
52793,53020,Crimson Tech Industries,Los Blancos Eldorado,1746741600,25404,2025_19
89,9041,Catalysis,PT-Calculated,1746820800,25403,2025_19
40020,52870,Something in Latin,Department of Injustice,1746727200,25402,2025_19
8811,9047,Impulse 13!,DarkHearts,1746900000,25401,2025_19
40385,52828,Death Before Dishonor,Ethereal Chaos,1746910800,25400,2025_19
51412,52492,Rats,The Kingsmen,1746907200,25399,2025_19
50568,53109,The Saiyan Force,Warborn Brotherhood,1746900000,25398,2025_19
36457,41067,Warband of the Fallen,Houdini,1746795600,25397,2025_19
45687,53254,Lovers Lane,New Horizon,1746702000,25396,2025_19
7969,12249,WIT-Premier,Aurora Surrealis,1746896400,25395,2025_19
53638,53802,Owain&#039;s Farmers,Estarossa’s Monarch,1746748800,25394,2025_19
30584,37803,Disorderly Conduct,PT-PimpTuga,1746730800,25393,2025_19
41066,47760,Insomnia,Ninjas In Rehab,1746748800,25392,2025_19
51373,52032,Golden Knights,War Criminals,1746730800,25391,2025_19
53685,53693,FRIENDSHIP,Mandalorians,1746795600,25390,2025_19
52953,53205,Sinful Sacrosanct,Latveria,1746676800,25389,2025_19
49095,49488,Mickey Mouse Misfit House,EIRE Ranger Wing WAR,1746900000,25388,2025_19
7835,9412,Monarch Mutation,BLACK STATUES,1746802800,25387,2025_19
49753,52645,Disciplina Fortior,Petals of the Frozen Dawn,1746716400,25386,2025_19
51208,53564,The Associates,WarHound Reapers,1746878400,25385,2025_19
47859,52267,Ghost Riders,Hippy War Commune,1746900000,25384,2025_19
9686,42961,Cosa-Nostra,The Rebel Army,1746748800,25383,2025_19
8867,14821,Monarch Chrysalis,JFK - Future Killers,1746892800,25382,2025_19
27902,30820,SMTH - Concord,Wolverines Resurrected,1746712800,25381,2025_19
37155,49017,Planet-Express,Arcadian Rangers,1746892800,25380,2025_19
8677,46127,Mana,Cyber Warfare,1746817200,25379,2025_19
11898,38634,Attack Mode,Takut Bini Army of Light,1746716400,25378,2025_19
16696,41225,PT-Guemedolphinos,PT-erodactyls,1746806400,25377,2025_19
50900,52327,Bloodbound Covenant,LA LIMBO CARTEL/LLC HQ,1746727200,25376,2025_19
52067,52740,Existence,Torn Havoc Cartel,1746802800,25375,2025_19
47914,48206,New World Alliance,ADHD Team,1746712800,25374,2025_19
50334,51716,Noble Vanguard,Develop (Hiring),1746806400,25373,2025_19
50310,53032,classicvirgin,Cupins Vevecation,1746709200,25372,2025_19
39580,52652,Raccoon Rumpus,The Consortium,1746817200,25371,2025_19
8255,15595,Requiem,Lusty Lizards,1746907200,25370,2025_19
42133,47725,Ludus Magnus,Honey Bears,1746712800,25369,2025_19
50482,51932,Orphan Grinder,$Money Makers$,1746860400,25368,2025_19
10140,15655,In Memory of the Fallen,Ravage,1746882000,25367,2025_19
50286,50433,DM_Faction,Golden Dawn Mafia,1746820800,25366,2025_19
10174,12893,AQUA-Poseidon,Darkline,1746705600,25365,2025_19
6557,53469,The Turtle Club,Brilliant Stars,1746795600,25364,2025_19
49184,51896,The Rusty Pickle,Stoner Inc,1746842400,25363,2025_19
49515,51559,Holy Crucible Of Monarch,ALBA,1746716400,25362,2025_19
50494,51067,The Frogs,The Crimson Blade,1746817200,25361,2025_19
18090,51803,REK&amp;morty,Void Walkers,1746734400,25360,2025_19
10851,52827,Bullysian,The Krystal Empire,1746806400,25359,2025_19
47600,50737,Valhalla Warriors,Rocky&#039;s Gym,1746716400,25358,2025_19
51584,52129,TORN PACK,Kush Hempire,1746835200,25357,2025_19
15256,33999,Defenestration,Reluctant Horrors,1746806400,25356,2025_19
42972,53861,HF-Nazarick Empire,The Squeekers,1746680400,25355,2025_19
52130,53054,OP names,NewBorns,1746892800,25354,2025_19
53708,53884,Phoenix Army,Fragmented Reality,1746831600,25353,2025_19
53248,53421,The Convergence,Naughty Kids Academy,1746684000,25352,2025_19
25288,48911,The Horizon Initiative,Die Blade,1746910800,25351,2025_19
9201,36660,Destination Unknown,Premature Attackulation,1746817200,25350,2025_19
9455,44376,Bleed,Black Diamond Cartel,1746907200,25349,2025_19
48372,53163,The Aristocrats,Kingstone mafia HQ,1746907200,25348,2025_19
47495,52539,ENIGMA,The Ascension Project,1746889200,25347,2025_19
12094,27370,Nuclear Fusion,Desert Eagle,1746712800,25346,2025_19
50553,53138,The-Empire,Dreaded Lords Of Death,1746806400,25345,2025_19
7282,28349,Luscious Dreams,Dexter&#039;s Laboratory,1746709200,25344,2025_19
51698,53655,BoV :: Versatio,Junkie's,1746806400,25343,2025_19
36201,48140,-PopZ-,The Revenant Reserve,1746910800,25342,2025_19
21541,44817,My Brother&#8217;s Keeper,Pokemon City,1746889200,25341,2025_19
11062,37530,LIPZ R SEALED,Crossfire,1746723600,25340,2025_19
43836,49561,LaFamilia,The Four Twenty H-V-F,1746903600,25339,2025_19
51472,53839,Enraged Reapers [apply],Red Peer,1746802800,25338,2025_19
13377,18569,The Brotherhood of War,Romania Elite Kommando,1746903600,25337,2025_19
8422,8520,Monarch Cupid,Xenon,1746900000,25336,2025_19
11162,49319,InQuest,SCHIZOPHRENIACS,1746903600,25335,2025_19
41218,48633,Forgotten Realm,Tokyo Syndicate,1746918000,25334,2025_19
49147,49413,Gladiators,Green &#039;Peace&#039;,1746730800,25333,2025_19
23193,50890,Materia,Wartopia,1746892800,25332,2025_19
48822,50579,Diamond Cartel.,Trash Bandits,1746820800,25331,2025_19
48636,49069,Roam,Unbroken Damage,1746705600,25330,2025_19
20211,37450,CR-ACK,Wargasm-DNA,1746910800,25329,2025_19
44811,48927,Order of Diverse Events,Family First,1746918000,25328,2025_19
18963,49903,Search &amp; Destroy,Red Rising,1746828000,25327,2025_19
51679,52510,CRashpad,Grim Korp,1746885600,25326,2025_19
11131,12894,Infernum-,New Sith Order II,1746730800,25325,2025_19
48832,49927,Varix Legion,Viking Family,1746910800,25324,2025_19
40518,42671,Monarch Optimus,The Hellfire Club,1746817200,25323,2025_19
230,16312,PT-Family,39th Street Killers X,1746730800,25322,2025_19
37838,47710,Victores Cruenti,PT-GuemLand,1746820800,25321,2025_19
48640,49167,Phoenix Ascent,RHINO&#039;S CARTEL,1746903600,25320,2025_19
50215,50743,Trouble,Bargain Boozers CW,1746903600,25319,2025_19
19,27312,39th Street Killers,SA Succession,1746712800,25318,2025_19
51628,53632,Wolfe Corp,Aotearoa Boyz,1746792000,25317,2025_19
35140,41702,Vault 76,Fatality,1746734400,25316,2025_19
51200,52292,The Bottomless Pit,The Cartel Gods,1746824400,25315,2025_19
47445,49250,Blade of Vengeance,Junglists,1746892800,25314,2025_19
20554,44762,Rising Reckoning,Monarch Retardation,1746734400,25313,2025_19
42911,49297,TeamRocket,Shaggy Hi-Fidelity,1746802800,25312,2025_19
50706,53195,REBELLION,Hippie Mafia,1746720000,25311,2025_19
44594,47648,The WarSluts,Rising Heroes,1746824400,25310,2025_19
50699,52018,Star-Light-Warriors,{WARS} - Elite,1746730800,25309,2025_19
53453,53552,369,420 tokers,1746820800,25308,2025_19
45116,50002,Starz Syndicate,Not A Cult,1746709200,25307,2025_19
42842,48246,Legitimate Enterprises,Knockout - Care Corner,1746813600,25306,2025_19
52380,52787,The Klingon Empire,Bliss,1746720000,25305,2025_19
15930,17055,HellBound,Natural Born Killers,1746828000,25304,2025_19
7652,9176,Alley Cats,The Iron Fist,1746907200,25303,2025_19
48097,52608,Braveheart,OWASP,1746730800,25302,2025_19
51307,51566,The Street Rats,Bacon INC,1746903600,25301,2025_19
51304,51605,Legion Of Doom,The Night Owls,1746748800,25300,2025_19
43545,49575,Phantom Syndicate,We Don&#039;t Win,1746900000,25299,2025_19
8085,44865,Nuclear Blast,Violent Resolution,1746720000,25298,2025_19
3241,16335,JFK,SMTH - November Chopin,1746799200,25297,2025_19
48517,50354,The Cult of Prosperity,The Undying Legion,1746885600,25296,2025_19
48058,51926,Banty Shack,Inglorious Basterds,1746723600,25295,2025_19
6974,8938,Onion Smugglers,Arcadia,1746820800,25294,2025_19
41309,42685,The Askelads,WarDogs Outpost,1746716400,25293,2025_19
49793,52529,GANGSTA CARTEL HQ,Camelot,1746802800,25292,2025_19
52866,53100,GanjaWarriors,Menacing Monkeys,1746741600,25291,2025_19
50609,51601,Phoenix Elysium,Dark Rose Battalion,1746903600,25290,2025_19
51644,53827,Ironclad Union,ALL READY FOR WAR,1746806400,25289,2025_19
50350,51011,Mayans,XannyMob,1746720000,25288,2025_19
53011,53726,T&#039;C OUTKAST BASE 1,Dr7,1746889200,25287,2025_19
51316,52431,Pixel Ninjas,HF-Bloodline,1746802800,25286,2025_19
937,10820,Sport Club,Lithium,1746730800,25285,2025_19
1117,20303,Ascension,The Saviors,1746817200,25284,2025_19
52932,53836,Dark Passenger,THE BLACK HOUSE,1746896400,25283,2025_19
