fac1,fac2,fac1_name,fac2_name,wstart,wid,week
51524,52944,Knights United,TheCollective,1737046800,21318,2025_3
50900,52843,Bloodbound Covenant,Pickle Party,1737136800,21317,2025_3
48077,50494,Champagne Killers,The Frogs,1737223200,21316,2025_3
49247,50315,NF Outlaws,Bloodlust,1737230400,21315,2025_3
51839,52872,The Crims,Project Paradise 2.0,1737046800,21314,2025_3
50230,51716,The Panturas,Develop (Hiring),1737122400,21313,2025_3
50517,50601,I.D.F.,Gozerian,1737219600,21312,2025_3
51053,51067,Ile Ogun,The Crimson Blade,1737219600,21311,2025_3
50808,52484,Solo Leveling,Family First,1737046800,21310,2025_3
50946,52748,GERMAN TROUT SLAPPERS,The Coiled Order,1737234000,21309,2025_3
52363,52801,T.R.A.C.E.Y,Demon corp,1737237600,21308,2025_3
41702,44404,Rogue Warriors,PA Wet Dream,1737136800,21307,2025_3
50424,53160,Ethereal Blade,BJSFTW,1737050400,21306,2025_3
50642,52228,The Milkers,The Flying Dutchman,1737158400,21305,2025_3
50241,52817,Bucket o' Blood,SAVAGE-MEDIC,1737140400,21304,2025_3
51179,53126,Phoenix Federation,THE GRITS,1737208800,21303,2025_3
34623,42741,Viking Emus,Black  Lotus  Society,1737050400,21302,2025_3
51601,52192,Phoenix uprising,Hound&#039;s of Iron,1737136800,21301,2025_3
50609,51566,Phoenix Elysium,Bacon INC,1737216000,21300,2025_3
47725,49695,SkilledAssassinsRepublic,The Shogunate Spy,1737061200,21299,2025_3
21665,22781,Monarch Army of Light,The Wolverines,1737126000,21298,2025_3
49707,50433,T&#039;c outkasts,Golden Dawn Mafia,1737061200,21297,2025_3
51122,52387,Kagu-tsuchi clan,The Sons Of Anarchy,1737140400,21296,2025_3
51420,52983,Mission impossible,House of Shadow Slayer,1737043200,21295,2025_3
46127,51145,Cyber Warfare,Legion of Harbingers,1737133200,21294,2025_3
48635,49776,Til Valhalla,Port Royal,1737230400,21293,2025_3
50743,52987,Noble Chocolate Winter,A team,1737230400,21292,2025_3
14441,47911,Monarch Mavericks,Clammy&#039;s Atlantis Medical,1737046800,21291,2025_3
28073,32395,Shiny Hoard Avian Team,-Aurora-,1737151200,21290,2025_3
366,8938,Evolution,Arcadia,1737050400,21289,2025_3
46022,48093,Chrondawgs,UNDERWORLD,1737108000,21288,2025_3
52209,53164,Monark HQ,Deities of Darkness,1736985600,21287,2025_3
50528,52212,shell farm,Cheesers,1737140400,21286,2025_3
36660,37595,Premature Attackulation,Firequackers,1737064800,21285,2025_3
3241,13665,JFK,PT-Penguins,1737129600,21284,2025_3
8867,12893,Monarch Chrysalis,Darkline,1737061200,21283,2025_3
